Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,40440
Train_2,Train Trip,Station2,Station3,4560,11880
Train_3,Train Trip,Station4,Station5,8940,14100
Train_4,Train Trip,Station6,Station7,9120,35760
Train_2,Light Travel,Station3,Station15,11880,13620
Train_5,Train Trip,Station2,Station8,12240,19320
Train_3,Light Travel,Station5,Station17,14100,18600
Train_6,Train Trip,Station9,Station10,18000,24540
Train_5,Light Travel,Station8,Station8,19320,19320
Train_7,Train Trip,Station11,Station12,19620,40380
Train_8,Train Trip,Station11,Station12,19620,40380
Train_9,Train Trip,Station13,Station14,22440,26040
Train_6,Light Travel,Station10,Station17,24540,34080
Train_9,Light Travel,Station14,Station22,26040,32340
Train_2,Train Trip,Station15,Station16,33120,67800
Train_4,Light Travel,Station7,Station7,35760,35760
Train_6,Train Trip,Station17,Station18,36540,50520
Train_5,Train Trip,Station8,Station19,40080,48840
Train_7,Light Travel,Station12,Station12,40380,40380
Train_8,Light Travel,Station12,Station12,40380,40380
Train_1,Light Travel,Station1,Station1,40440,40440
Train_1,Train Trip,Station1,Station20,42780,104400
Train_3,Train Trip,Station17,Station18,44760,56100
Train_5,Light Travel,Station19,Station19,48840,48840
Train_5,Train Trip,Station19,Station8,49080,52200
Train_6,Light Travel,Station18,Station5,50520,53040
Train_10,Train Trip,Station21,Station22,52080,68160
Train_5,Light Travel,Station8,Station8,52200,52200
Train_3,Light Travel,Station18,Station25,56100,56520
Train_4,Train Trip,Station7,Station23,61920,65880
Train_11,Train Trip,Station1,Station22,62520,67260
Train_9,Train Trip,Station22,Station23,64320,67620
Train_4,Light Travel,Station23,Station1,65880,66840
Train_4,Train Trip,Station1,Station24,67200,78480
Train_11,Light Travel,Station22,Station22,67260,67260
Train_9,Light Travel,Station23,Station23,67620,67620
Train_2,Light Travel,Station16,Station11,67800,71520
Train_11,Train Trip,Station22,Station21,68040,79560
Train_10,Light Travel,Station22,Station23,68160,70020
Train_6,Train Trip,Station5,Station4,68220,75120
Train_9,Train Trip,Station23,Station1,69180,73800
Train_3,Train Trip,Station25,Station18,71400,77040
Train_5,Train Trip,Station8,Station18,72300,78960
Train_9,Light Travel,Station1,Station1,73800,73800
Train_6,Light Travel,Station4,Station4,75120,75120
Train_3,Light Travel,Station18,Station2,77040,77100
Train_4,Light Travel,Station24,Station9,78480,81720
Train_5,Light Travel,Station18,Station2,78960,79020
Train_11,Light Travel,Station21,Station21,79560,79560
Train_5,Train Trip,Station2,Station3,90960,98280
Train_6,Train Trip,Station4,Station5,95340,100500
Train_5,Light Travel,Station3,Station17,98280,102900
Train_3,Train Trip,Station2,Station8,98640,105720
Train_6,Light Travel,Station5,Station17,100500,105000
Train_4,Train Trip,Station9,Station10,104400,110940
Train_1,Light Travel,Station20,Station20,104400,104400
Train_3,Light Travel,Station8,Station8,105720,105720
Train_8,Train Trip,Station12,Station11,108300,124860
Train_7,Train Trip,Station12,Station11,108300,124860
Train_4,Light Travel,Station10,Station26,110940,123000
Train_6,Train Trip,Station17,Station18,122940,136920
Train_8,Light Travel,Station11,Station23,124860,126300
Train_7,Light Travel,Station11,Station11,124860,124860
Train_3,Train Trip,Station8,Station19,126480,135240
Train_2,Train Trip,Station11,Station12,128580,150720
Train_7,Train Trip,Station11,Station12,128580,150720
Train_5,Train Trip,Station17,Station18,131160,142500
Train_8,Train Trip,Station23,Station22,134460,137280
Train_10,Train Trip,Station23,Station22,134460,137280
Train_3,Light Travel,Station19,Station19,135240,135240
Train_3,Train Trip,Station19,Station8,135480,138600
Train_6,Light Travel,Station18,Station5,136920,139440
Train_8,Light Travel,Station22,Station22,137280,137280
Train_10,Light Travel,Station22,Station7,137280,139440
Train_11,Train Trip,Station21,Station22,138480,154560
Train_3,Light Travel,Station8,Station8,138600,138600
Train_5,Light Travel,Station18,Station25,142500,142920
Train_10,Train Trip,Station7,Station23,148320,152280
Train_4,Train Trip,Station26,Station27,148740,159840
Train_9,Train Trip,Station1,Station22,148920,153660
Train_8,Train Trip,Station22,Station23,150720,154020
Train_2,Light Travel,Station12,Station12,150720,150720
Train_7,Light Travel,Station12,Station12,150720,150720
Train_10,Light Travel,Station23,Station9,152280,162480
Train_9,Light Travel,Station22,Station22,153660,153660
Train_8,Light Travel,Station23,Station23,154020,154020
Train_9,Train Trip,Station22,Station21,154440,165960
Train_11,Light Travel,Station22,Station22,154560,154560
Train_6,Train Trip,Station5,Station4,154620,161520
Train_8,Train Trip,Station23,Station1,155580,160200
Train_5,Train Trip,Station25,Station18,157800,163440
Train_3,Train Trip,Station8,Station18,158700,165360
Train_4,Light Travel,Station27,Station6,159840,165780
Train_8,Light Travel,Station1,Station28,160200,163500
Train_1,Train Trip,Station20,Station1,160440,213240
Train_6,Light Travel,Station4,Station4,161520,161520
Train_5,Light Travel,Station18,Station2,163440,163500
Train_3,Light Travel,Station18,Station2,165360,165420
Train_9,Light Travel,Station21,Station21,165960,165960
Train_8,Train Trip,Station28,Station29,174720,184260
Train_3,Train Trip,Station2,Station3,177360,184680
Train_6,Train Trip,Station4,Station5,181740,186900
Train_4,Train Trip,Station6,Station7,181920,208560
Train_8,Light Travel,Station29,Station1,184260,189180
Train_3,Light Travel,Station3,Station17,184680,189300
Train_5,Train Trip,Station2,Station8,185040,192120
Train_6,Light Travel,Station5,Station17,186900,191400
Train_10,Train Trip,Station9,Station10,190800,197340
Train_5,Light Travel,Station8,Station8,192120,192120
Train_7,Train Trip,Station12,Station11,194700,211260
Train_2,Train Trip,Station12,Station11,194700,211260
Train_10,Light Travel,Station10,Station26,197340,209400
Train_8,Train Trip,Station1,Station30,203640,252420
Train_4,Light Travel,Station7,Station7,208560,208560
Train_6,Train Trip,Station17,Station18,209340,223320
Train_7,Light Travel,Station11,Station11,211260,211260
Train_2,Light Travel,Station11,Station11,211260,211260
Train_5,Train Trip,Station8,Station19,212880,221640
Train_1,Light Travel,Station1,Station1,213240,213240
Train_2,Train Trip,Station11,Station12,214980,237120
Train_7,Train Trip,Station11,Station12,214980,237120
Train_3,Train Trip,Station17,Station18,217560,228900
Train_5,Light Travel,Station19,Station19,221640,221640
Train_5,Train Trip,Station19,Station8,221880,225000
Train_6,Light Travel,Station18,Station5,223320,225840
Train_9,Train Trip,Station21,Station22,224880,240960
Train_5,Light Travel,Station8,Station8,225000,225000
Train_3,Light Travel,Station18,Station25,228900,229320
Train_4,Train Trip,Station7,Station23,234720,238680
Train_10,Train Trip,Station26,Station27,235140,246240
Train_1,Train Trip,Station1,Station22,235320,240060
Train_11,Train Trip,Station22,Station23,237120,240420
Train_2,Light Travel,Station12,Station12,237120,237120
Train_7,Light Travel,Station12,Station12,237120,237120
Train_4,Light Travel,Station23,Station23,238680,238680
Train_1,Light Travel,Station22,Station22,240060,240060
