Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,522840
Train_2,Train Trip,Station2,Station3,60,3600
Train_3,Train Trip,Station4,Station5,480,4260
Train_4,Train Trip,Station6,Station7,3480,6900
Train_5,Train Trip,Station6,Station1,3600,4440
Train_2,Light Travel,Station3,Station3,3600,3600
Train_3,Light Travel,Station5,Station5,4260,4260
Train_5,Light Travel,Station1,Station1,4440,4440
Train_4,Light Travel,Station7,Station7,6900,6900
Train_2,Train Trip,Station3,Station2,7200,10680
Train_6,Train Trip,Station6,Station8,8100,8520
Train_5,Train Trip,Station1,Station6,8400,9360
Train_3,Train Trip,Station5,Station4,8400,10860
Train_6,Light Travel,Station8,Station13,8520,9000
Train_5,Light Travel,Station6,Station1,9360,10380
Train_2,Light Travel,Station2,Station2,10680,10680
Train_3,Light Travel,Station4,Station9,10860,11580
Train_3,Train Trip,Station9,Station6,13500,14640
Train_4,Train Trip,Station7,Station6,13500,15720
Train_3,Light Travel,Station6,Station6,14640,14640
Train_5,Train Trip,Station1,Station6,15600,16440
Train_4,Light Travel,Station6,Station6,15720,15720
Train_5,Light Travel,Station6,Station6,16440,16440
Train_3,Train Trip,Station6,Station1,17340,18060
Train_3,Light Travel,Station1,Station1,18060,18060
Train_3,Train Trip,Station1,Station6,20400,21240
Train_3,Light Travel,Station6,Station6,21240,21240
Train_5,Train Trip,Station6,Station1,22200,22920
Train_5,Light Travel,Station1,Station1,22920,22920
Train_3,Train Trip,Station6,Station1,22980,23820
Train_4,Train Trip,Station6,Station10,23220,23820
Train_7,Train Trip,Station11,Station12,23340,24240
Train_6,Train Trip,Station13,Station14,23700,27000
Train_3,Light Travel,Station1,Station29,23820,25080
Train_4,Light Travel,Station10,Station10,23820,23820
Train_7,Light Travel,Station12,Station12,24240,24240
Train_7,Train Trip,Station12,Station12,25800,30060
Train_8,Train Trip,Station15,Station16,26520,27420
Train_9,Train Trip,Station17,Station18,26640,29820
Train_6,Light Travel,Station14,Station14,27000,27000
Train_8,Light Travel,Station16,Station16,27420,27420
Train_4,Train Trip,Station10,Station10,28980,30900
Train_8,Train Trip,Station16,Station19,29160,30540
Train_2,Train Trip,Station2,Station20,29400,33420
Train_9,Light Travel,Station18,Station18,29820,29820
Train_7,Light Travel,Station12,Station12,30060,30060
Train_10,Train Trip,Station21,Station22,30360,32580
Train_8,Light Travel,Station19,Station15,30540,32040
Train_11,Train Trip,Station23,Station24,30720,32580
Train_4,Light Travel,Station10,Station31,30900,31740
Train_7,Train Trip,Station12,Station11,31020,31920
Train_7,Light Travel,Station11,Station11,31920,31920
Train_9,Train Trip,Station18,Station17,32580,34440
Train_10,Light Travel,Station22,Station22,32580,32580
Train_11,Light Travel,Station24,Station24,32580,32580
Train_6,Train Trip,Station14,Station14,33180,34920
Train_2,Light Travel,Station20,Station20,33420,33420
Train_8,Train Trip,Station15,Station25,34020,34920
Train_5,Train Trip,Station1,Station6,34320,35280
Train_9,Light Travel,Station17,Station17,34440,34440
Train_7,Train Trip,Station11,Station26,34800,37980
Train_6,Light Travel,Station14,Station14,34920,34920
Train_8,Light Travel,Station25,Station25,34920,34920
Train_5,Light Travel,Station6,Station6,35280,35280
Train_9,Train Trip,Station17,Station27,35580,36240
Train_9,Light Travel,Station27,Station27,36240,36240
Train_6,Train Trip,Station14,Station14,36780,38520
Train_11,Train Trip,Station24,Station23,36780,41640
Train_10,Train Trip,Station22,Station21,36900,39180
Train_2,Train Trip,Station20,Station2,37200,41940
Train_5,Train Trip,Station6,Station28,37320,38040
Train_8,Train Trip,Station25,Station15,37860,38460
Train_7,Light Travel,Station26,Station26,37980,37980
Train_5,Light Travel,Station28,Station6,38040,38340
Train_3,Train Trip,Station29,Station30,38100,38880
Train_8,Light Travel,Station15,Station19,38460,39960
Train_4,Train Trip,Station31,Station32,38520,40380
Train_6,Light Travel,Station14,Station14,38520,38520
Train_3,Light Travel,Station30,Station9,38880,38940
Train_10,Light Travel,Station21,Station21,39180,39180
Train_5,Train Trip,Station6,Station10,39960,40560
Train_7,Train Trip,Station26,Station11,40200,43020
Train_6,Train Trip,Station14,Station33,40260,47160
Train_4,Light Travel,Station32,Station32,40380,40380
Train_5,Light Travel,Station10,Station28,40560,41160
Train_10,Train Trip,Station21,Station34,40860,43380
Train_9,Train Trip,Station27,Station17,41040,41940
Train_3,Train Trip,Station9,Station29,41100,42060
Train_5,Train Trip,Station28,Station6,41160,41760
Train_11,Light Travel,Station23,Station23,41640,41640
Train_5,Light Travel,Station6,Station10,41760,42060
Train_2,Light Travel,Station2,Station2,41940,41940
Train_9,Light Travel,Station17,Station17,41940,41940
Train_3,Light Travel,Station29,Station29,42060,42060
Train_7,Light Travel,Station11,Station11,43020,43020
Train_10,Light Travel,Station34,Station34,43380,43380
Train_5,Train Trip,Station10,Station6,43500,44100
Train_5,Light Travel,Station6,Station6,44100,44100
Train_7,Train Trip,Station11,Station12,45360,46260
Train_5,Train Trip,Station6,Station1,45600,46440
Train_4,Train Trip,Station32,Station31,46200,49860
Train_7,Light Travel,Station12,Station12,46260,46260
Train_5,Light Travel,Station1,Station1,46440,46440
