Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,3330
Train_2,Train Trip,Station2,Station3,0,3300
Train_3,Train Trip,Station4,Station5,0,840
Train_4,Train Trip,Station6,Station7,0,1320
Train_5,Train Trip,Station8,Station9,0,120
Train_5,Light Travel,Station9,Station21,120,780
Train_3,Light Travel,Station5,Station5,840,840
Train_4,Light Travel,Station7,Station7,1320,1320
Train_2,Light Travel,Station3,Station3,3300,3300
Train_1,Light Travel,Station1,Station1,3330,3330
Train_1,Train Trip,Station1,Station9,13560,20160
Train_6,Train Trip,Station10,Station11,14910,16020
Train_7,Train Trip,Station12,Station13,14940,19530
Train_8,Train Trip,Station5,Station9,15240,25350
Train_9,Train Trip,Station14,Station15,15510,16440
Train_10,Train Trip,Station16,Station17,15600,21840
Train_6,Light Travel,Station11,Station11,16020,16020
Train_11,Train Trip,Station18,Station19,16200,30810
Train_12,Train Trip,Station20,Station13,16230,23370
Train_9,Light Travel,Station15,Station15,16440,16440
Train_13,Train Trip,Station3,Station21,16500,20160
Train_14,Train Trip,Station12,Station13,16740,21330
Train_15,Train Trip,Station15,Station18,16920,20700
Train_16,Train Trip,Station22,Station23,17160,20640
Train_9,Train Trip,Station15,Station5,17160,29850
Train_17,Train Trip,Station24,Station21,17250,24720
Train_6,Train Trip,Station11,Station25,17280,18300
Train_18,Train Trip,Station20,Station13,17490,25080
Train_19,Train Trip,Station20,Station13,17490,25080
Train_5,Train Trip,Station21,Station3,17640,21300
Train_20,Train Trip,Station17,Station26,17820,25200
Train_21,Train Trip,Station27,Station18,17880,24300
Train_22,Train Trip,Station28,Station29,18090,21690
Train_2,Train Trip,Station3,Station21,18300,21960
Train_6,Light Travel,Station25,Station25,18300,18300
Train_23,Train Trip,Station17,Station23,18360,22062
Train_24,Train Trip,Station12,Station13,18540,23130
Train_25,Train Trip,Station30,Station31,18540,19980
Train_26,Train Trip,Station19,Station32,18840,22560
Train_27,Train Trip,Station16,Station17,19200,25470
Train_28,Train Trip,Station21,Station3,19440,23100
Train_7,Light Travel,Station13,Station10,19530,21750
Train_6,Train Trip,Station25,Station11,19548,20610
Train_29,Train Trip,Station33,Station34,19680,26880
Train_25,Light Travel,Station31,Station31,19980,19980
Train_30,Train Trip,Station35,Station9,20070,22890
Train_31,Train Trip,Station3,Station21,20100,23760
Train_1,Light Travel,Station9,Station9,20160,20160
Train_13,Light Travel,Station21,Station21,20160,20160
Train_32,Train Trip,Station18,Station17,20220,29220
Train_33,Train Trip,Station12,Station13,20340,24942
Train_25,Train Trip,Station31,Station36,20340,21420
Train_1,Train Trip,Station9,Station21,20580,23040
Train_6,Light Travel,Station11,Station11,20610,20610
Train_16,Light Travel,Station23,Station23,20640,20640
Train_15,Light Travel,Station18,Station14,20700,22740
Train_34,Train Trip,Station20,Station13,20790,28500
Train_4,Train Trip,Station7,Station18,20790,26370
Train_16,Train Trip,Station23,Station17,21060,24894
Train_35,Train Trip,Station17,Station37,21180,22674
Train_13,Train Trip,Station21,Station3,21240,24900
Train_5,Light Travel,Station3,Station3,21300,21300
Train_14,Light Travel,Station13,Station13,21330,21330
Train_36,Train Trip,Station17,Station5,21420,32580
Train_6,Train Trip,Station11,Station9,21420,24870
Train_25,Light Travel,Station36,Station36,21420,21420
Train_22,Light Travel,Station29,Station29,21690,21690
Train_25,Train Trip,Station36,Station31,21780,22800
Train_37,Train Trip,Station38,Station17,21840,27840
Train_10,Light Travel,Station17,Station17,21840,21840
Train_5,Train Trip,Station3,Station21,21900,25560
Train_2,Light Travel,Station21,Station21,21960,21960
Train_23,Light Travel,Station23,Station23,22062,22062
Train_22,Train Trip,Station29,Station31,22098,27480
Train_10,Train Trip,Station17,Station39,22140,23160
Train_38,Train Trip,Station15,Station18,22320,26100
Train_7,Train Trip,Station10,Station11,22320,23820
Train_26,Light Travel,Station32,Station32,22560,22560
Train_39,Train Trip,Station40,Station19,22590,26700
Train_35,Light Travel,Station37,Station37,22674,22674
Train_25,Light Travel,Station31,Station31,22800,22800
Train_30,Light Travel,Station9,Station9,22890,22890
Train_2,Train Trip,Station21,Station3,23040,26700
Train_1,Light Travel,Station21,Station21,23040,23040
Train_40,Train Trip,Station38,Station17,23100,28080
Train_28,Light Travel,Station3,Station3,23100,23100
