Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,360
Train_2,Train Trip,Station2,Station3,0,1080
Train_3,Train Trip,Station4,Station3,0,1080
Train_4,Train Trip,Station5,Station6,0,1560
Train_5,Train Trip,Station7,Station6,0,1560
Train_6,Train Trip,Station8,Station3,0,4560
Train_7,Train Trip,Station9,Station3,0,4560
Train_8,Train Trip,Station10,Station11,0,524760
Train_9,Train Trip,Station12,Station11,0,524760
Train_1,Light Travel,Station1,Station1,360,360
Train_2,Light Travel,Station3,Station11,1080,4200
Train_3,Light Travel,Station3,Station6,1080,2460
Train_4,Light Travel,Station6,Station11,1560,3300
Train_5,Light Travel,Station6,Station6,1560,1560
Train_3,Train Trip,Station6,Station11,3780,6360
Train_5,Train Trip,Station6,Station11,3780,6360
Train_6,Light Travel,Station3,Station3,4560,4560
Train_7,Light Travel,Station3,Station3,4560,4560
Train_3,Light Travel,Station11,Station11,6360,6360
Train_5,Light Travel,Station11,Station11,6360,6360
Train_3,Train Trip,Station11,Station6,14400,16980
Train_4,Train Trip,Station11,Station6,14400,16980
Train_10,Train Trip,Station13,Station11,14640,17760
Train_5,Train Trip,Station11,Station6,15720,18360
Train_11,Train Trip,Station11,Station6,15720,18360
Train_7,Train Trip,Station3,Station13,16200,23700
Train_6,Train Trip,Station3,Station13,16200,23700
Train_3,Light Travel,Station6,Station6,16980,16980
Train_4,Light Travel,Station6,Station6,16980,16980
Train_10,Light Travel,Station11,Station11,17760,17760
Train_2,Train Trip,Station11,Station14,18000,19500
Train_10,Train Trip,Station11,Station14,18000,19500
Train_12,Train Trip,Station15,Station16,18060,21660
Train_13,Train Trip,Station15,Station16,18060,21660
Train_4,Train Trip,Station6,Station11,18360,20940
Train_3,Train Trip,Station6,Station11,18360,20940
Train_5,Light Travel,Station6,Station6,18360,18360
Train_11,Light Travel,Station6,Station6,18360,18360
Train_14,Train Trip,Station17,Station18,18840,22500
Train_1,Train Trip,Station1,Station19,19080,22680
Train_15,Train Trip,Station20,Station21,19140,21120
Train_16,Train Trip,Station20,Station21,19140,21120
Train_11,Train Trip,Station6,Station11,19260,21840
Train_5,Train Trip,Station6,Station11,19260,21840
Train_17,Train Trip,Station18,Station17,19440,23220
Train_18,Train Trip,Station18,Station17,19440,23220
Train_19,Train Trip,Station22,Station23,19500,22860
Train_2,Light Travel,Station14,Station14,19500,19500
Train_10,Light Travel,Station14,Station14,19500,19500
Train_20,Train Trip,Station1,Station24,19740,23580
Train_4,Light Travel,Station11,Station11,20940,20940
Train_3,Light Travel,Station11,Station11,20940,20940
Train_10,Train Trip,Station14,Station25,21060,24180
Train_2,Train Trip,Station14,Station25,21060,24180
Train_21,Train Trip,Station26,Station27,21120,27300
Train_22,Train Trip,Station26,Station27,21120,27300
Train_15,Light Travel,Station21,Station21,21120,21120
Train_16,Light Travel,Station21,Station21,21120,21120
Train_3,Train Trip,Station11,Station27,21600,23700
Train_4,Train Trip,Station11,Station27,21600,23700
Train_12,Light Travel,Station16,Station16,21660,21660
Train_13,Light Travel,Station16,Station16,21660,21660
Train_16,Train Trip,Station21,Station28,21780,25920
Train_11,Light Travel,Station11,Station3,21840,24960
Train_5,Light Travel,Station11,Station27,21840,23340
Train_12,Train Trip,Station16,Station28,22320,27480
Train_13,Train Trip,Station16,Station28,22320,27480
Train_14,Light Travel,Station18,Station18,22500,22500
Train_23,Train Trip,Station1,Station19,22680,26280
Train_1,Light Travel,Station19,Station19,22680,22680
Train_19,Light Travel,Station23,Station23,22860,22860
Train_17,Light Travel,Station17,Station17,23220,23220
Train_18,Light Travel,Station17,Station17,23220,23220
Train_24,Train Trip,Station29,Station3,23280,31500
Train_25,Train Trip,Station29,Station3,23280,31500
Train_26,Train Trip,Station18,Station1,23340,28380
Train_14,Train Trip,Station18,Station1,23340,28380
Train_17,Train Trip,Station17,Station28,23400,26820
Train_20,Light Travel,Station24,Station24,23580,23580
Train_7,Light Travel,Station13,Station13,23700,23700
Train_6,Light Travel,Station13,Station13,23700,23700
Train_3,Light Travel,Station27,Station3,23700,25320
Train_4,Light Travel,Station27,Station27,23700,23700
Train_19,Train Trip,Station23,Station28,23940,27180
Train_4,Train Trip,Station27,Station25,24060,27780
Train_5,Train Trip,Station27,Station25,24060,27780
Train_18,Train Trip,Station17,Station30,24180,26880
Train_10,Light Travel,Station25,Station25,24180,24180
Train_2,Light Travel,Station25,Station25,24180,24180
Train_1,Train Trip,Station19,Station1,24240,27480
Train_6,Train Trip,Station13,Station3,24540,33480
Train_7,Train Trip,Station13,Station3,24540,33480
Train_20,Train Trip,Station24,Station17,24600,26220
Train_27,Train Trip,Station15,Station1,25020,29160
Train_15,Train Trip,Station21,Station1,25080,26940
Train_16,Light Travel,Station28,Station28,25920,25920
Train_16,Train Trip,Station28,Station1,26220,28440
Train_20,Light Travel,Station17,Station17,26220,26220
Train_3,Train Trip,Station3,Station11,26280,31740
Train_11,Train Trip,Station3,Station11,26280,31740
Train_23,Light Travel,Station19,Station19,26280,26280
Train_17,Light Travel,Station28,Station28,26820,26820
Train_18,Light Travel,Station30,Station30,26880,26880
Train_15,Light Travel,Station1,Station1,26940,26940
Train_19,Light Travel,Station28,Station28,27180,27180
Train_21,Light Travel,Station27,Station27,27300,27300
Train_22,Light Travel,Station27,Station27,27300,27300
Train_12,Light Travel,Station28,Station28,27480,27480
Train_13,Light Travel,Station28,Station28,27480,27480
Train_1,Light Travel,Station1,Station1,27480,27480
Train_22,Train Trip,Station27,Station29,27660,32400
Train_21,Train Trip,Station27,Station29,27660,32400
Train_18,Train Trip,Station30,Station1,27720,28140
Train_4,Light Travel,Station25,Station25,27780,27780
Train_5,Light Travel,Station25,Station25,27780,27780
Train_19,Train Trip,Station28,Station1,27840,29940
Train_13,Train Trip,Station28,Station1,27840,29940
Train_23,Train Trip,Station19,Station1,27840,31320
Train_5,Train Trip,Station25,Station31,27840,34200
Train_4,Train Trip,Station25,Station31,27840,34200
Train_18,Light Travel,Station1,Station1,28140,28140
Train_17,Train Trip,Station28,Station1,28260,30180
Train_12,Train Trip,Station28,Station1,28260,30180
Train_15,Train Trip,Station1,Station22,28380,30420
Train_26,Light Travel,Station1,Station1,28380,28380
Train_14,Light Travel,Station1,Station1,28380,28380
Train_16,Light Travel,Station1,Station1,28440,28440
Train_18,Train Trip,Station1,Station15,28560,31080
Train_27,Light Travel,Station1,Station1,29160,29160
Train_27,Train Trip,Station1,Station19,29880,33480
Train_19,Light Travel,Station1,Station1,29940,29940
Train_13,Light Travel,Station1,Station1,29940,29940
Train_17,Light Travel,Station1,Station1,30180,30180
Train_12,Light Travel,Station1,Station1,30180,30180
Train_13,Train Trip,Station1,Station17,30240,32160
Train_15,Light Travel,Station22,Station22,30420,30420
Train_18,Light Travel,Station15,Station15,31080,31080
Train_16,Train Trip,Station1,Station17,31200,32820
Train_23,Light Travel,Station1,Station1,31320,31320
Train_2,Train Trip,Station25,Station6,31440,35760
Train_10,Train Trip,Station25,Station6,31440,35760
Train_24,Light Travel,Station3,Station3,31500,31500
Train_25,Light Travel,Station3,Station3,31500,31500
Train_3,Light Travel,Station11,Station11,31740,31740
Train_11,Light Travel,Station11,Station11,31740,31740
Train_19,Train Trip,Station1,Station15,31980,35760
Train_13,Light Travel,Station17,Station17,32160,32160
Train_22,Light Travel,Station29,Station29,32400,32400
Train_21,Light Travel,Station29,Station29,32400,32400
Train_13,Train Trip,Station17,Station1,32820,34740
Train_16,Light Travel,Station17,Station17,32820,32820
Train_24,Train Trip,Station3,Station13,33240,41940
Train_25,Train Trip,Station3,Station13,33240,41940
Train_1,Train Trip,Station1,Station19,33480,37080
Train_6,Light Travel,Station3,Station3,33480,33480
Train_7,Light Travel,Station3,Station3,33480,33480
Train_27,Light Travel,Station19,Station19,33480,33480
Train_17,Train Trip,Station1,Station17,33840,35760
Train_22,Train Trip,Station29,Station6,34080,39360
Train_21,Train Trip,Station29,Station6,34080,39360
Train_5,Light Travel,Station31,Station31,34200,34200
Train_4,Light Travel,Station31,Station31,34200,34200
Train_15,Train Trip,Station22,Station1,34260,36360
Train_16,Train Trip,Station17,Station18,34620,38220
Train_20,Train Trip,Station17,Station18,34620,38220
Train_13,Light Travel,Station1,Station1,34740,34740
Train_7,Train Trip,Station3,Station25,34860,42180
Train_6,Train Trip,Station3,Station25,34860,42180
Train_27,Train Trip,Station19,Station15,35040,42420
Train_26,Train Trip,Station1,Station21,35760,37560
Train_2,Light Travel,Station6,Station6,35760,35760
Train_10,Light Travel,Station6,Station6,35760,35760
Train_19,Light Travel,Station15,Station15,35760,35760
Train_17,Light Travel,Station17,Station17,35760,35760
Train_18,Train Trip,Station15,Station1,36060,39960
Train_15,Light Travel,Station1,Station1,36360,36360
Train_17,Train Trip,Station17,Station1,36420,38340
Train_1,Light Travel,Station19,Station19,37080,37080
Train_26,Light Travel,Station21,Station21,37560,37560
Train_26,Train Trip,Station21,Station1,38100,39960
Train_16,Light Travel,Station18,Station18,38220,38220
Train_20,Light Travel,Station18,Station18,38220,38220
Train_17,Light Travel,Station1,Station1,38340,38340
Train_1,Train Trip,Station19,Station15,38640,46020
Train_12,Train Trip,Station1,Station15,39180,42960
Train_14,Train Trip,Station1,Station21,39360,41160
Train_22,Light Travel,Station6,Station6,39360,39360
Train_21,Light Travel,Station6,Station6,39360,39360
Train_21,Train Trip,Station6,Station13,39780,45540
Train_10,Train Trip,Station6,Station13,39780,45540
Train_18,Light Travel,Station1,Station1,39960,39960
Train_26,Light Travel,Station1,Station1,39960,39960
Train_26,Train Trip,Station1,Station17,41040,42960
Train_20,Train Trip,Station18,Station32,41040,53760
Train_14,Light Travel,Station21,Station21,41160,41160
Train_14,Train Trip,Station21,Station1,41700,43560
Train_24,Light Travel,Station13,Station13,41940,41940
Train_25,Light Travel,Station13,Station13,41940,41940
Train_7,Light Travel,Station25,Station25,42180,42180
Train_6,Light Travel,Station25,Station25,42180,42180
Train_27,Light Travel,Station15,Station15,42420,42420
Train_25,Train Trip,Station13,Station3,42540,51480
Train_24,Train Trip,Station13,Station3,42540,51480
Train_18,Train Trip,Station1,Station22,42780,44820
Train_12,Light Travel,Station15,Station15,42960,42960
Train_26,Light Travel,Station17,Station17,42960,42960
Train_12,Train Trip,Station15,Station1,43260,47160
Train_22,Train Trip,Station6,Station13,43380,49140
Train_2,Train Trip,Station6,Station13,43380,49140
Train_14,Light Travel,Station1,Station1,43560,43560
Train_26,Train Trip,Station17,Station1,43620,45540
Train_27,Train Trip,Station15,Station19,43920,51480
Train_17,Train Trip,Station1,Station19,44280,47880
Train_23,Train Trip,Station1,Station17,44640,46560
Train_18,Light Travel,Station22,Station22,44820,44820
Train_4,Train Trip,Station31,Station13,44880,52740
Train_5,Train Trip,Station31,Station13,44880,52740
Train_21,Light Travel,Station13,Station13,45540,45540
Train_10,Light Travel,Station13,Station13,45540,45540
Train_26,Light Travel,Station1,Station1,45540,45540
Train_7,Train Trip,Station25,Station31,45840,52200
Train_6,Train Trip,Station25,Station31,45840,52200
Train_1,Light Travel,Station15,Station15,46020,46020
Train_10,Train Trip,Station13,Station3,46140,55080
Train_21,Train Trip,Station13,Station3,46140,55080
Train_13,Train Trip,Station1,Station21,46560,48360
Train_23,Light Travel,Station17,Station17,46560,46560
Train_12,Light Travel,Station1,Station1,47160,47160
Train_23,Train Trip,Station17,Station1,47220,49140
Train_1,Train Trip,Station15,Station1,47520,50940
Train_19,Train Trip,Station15,Station1,47520,50940
Train_17,Light Travel,Station19,Station19,47880,47880
Train_13,Light Travel,Station21,Station21,48360,48360
Train_18,Train Trip,Station22,Station1,48660,50760
Train_13,Train Trip,Station21,Station1,48900,50760
Train_12,Train Trip,Station1,Station15,49080,53340
Train_22,Light Travel,Station13,Station13,49140,49140
Train_2,Light Travel,Station13,Station13,49140,49140
Train_23,Light Travel,Station1,Station1,49140,49140
Train_17,Train Trip,Station19,Station1,49440,52920
Train_2,Train Trip,Station13,Station3,49740,58680
Train_22,Train Trip,Station13,Station3,49740,58680
Train_15,Train Trip,Station1,Station22,49980,52020
Train_23,Train Trip,Station1,Station21,50160,51960
Train_11,Train Trip,Station11,Station14,50580,52080
Train_3,Train Trip,Station11,Station14,50580,52080
Train_18,Light Travel,Station1,Station1,50760,50760
Train_13,Light Travel,Station1,Station1,50760,50760
Train_1,Light Travel,Station1,Station1,50940,50940
Train_19,Light Travel,Station1,Station1,50940,50940
Train_13,Train Trip,Station1,Station19,51480,55080
Train_25,Light Travel,Station3,Station3,51480,51480
Train_24,Light Travel,Station3,Station3,51480,51480
Train_27,Light Travel,Station19,Station19,51480,51480
Train_18,Train Trip,Station1,Station17,51840,53760
Train_23,Light Travel,Station21,Station21,51960,51960
Train_15,Light Travel,Station22,Station22,52020,52020
Train_11,Light Travel,Station14,Station14,52080,52080
Train_3,Light Travel,Station14,Station14,52080,52080
Train_7,Light Travel,Station31,Station31,52200,52200
Train_6,Light Travel,Station31,Station31,52200,52200
Train_23,Train Trip,Station21,Station1,52500,54360
Train_4,Light Travel,Station13,Station13,52740,52740
