Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,120
Train_2,Train Trip,Station2,Station3,0,1260
Train_3,Train Trip,Station4,Station5,0,1320
Train_4,Train Trip,Station6,Station1,0,1920
Train_5,Train Trip,Station7,Station3,0,2880
Train_6,Train Trip,Station8,Station9,0,3420
Train_7,Train Trip,Station10,Station11,0,4800
Train_1,Light Travel,Station1,Station1,120,120
Train_8,Train Trip,Station3,Station9,660,4740
Train_9,Train Trip,Station12,Station13,1200,1800
Train_2,Light Travel,Station3,Station3,1260,1260
Train_3,Light Travel,Station5,Station5,1320,1320
Train_3,Train Trip,Station5,Station14,1740,2220
Train_9,Light Travel,Station13,Station13,1800,1800
Train_4,Light Travel,Station1,Station1,1920,1920
Train_3,Light Travel,Station14,Station14,2220,2220
Train_5,Light Travel,Station3,Station3,2880,2880
Train_9,Train Trip,Station13,Station15,3060,7200
Train_6,Light Travel,Station9,Station9,3420,3420
Train_8,Light Travel,Station9,Station9,4740,4740
Train_7,Light Travel,Station11,Station11,4800,4800
Train_9,Light Travel,Station15,Station15,7200,7200
Train_10,Train Trip,Station16,Station17,14280,15000
Train_5,Train Trip,Station3,Station18,14280,23340
Train_11,Train Trip,Station19,Station9,14940,15240
Train_6,Train Trip,Station9,Station3,14940,19260
Train_10,Light Travel,Station17,Station17,15000,15000
Train_11,Light Travel,Station9,Station9,15240,15240
Train_8,Train Trip,Station9,Station3,15540,19440
Train_10,Train Trip,Station17,Station20,15720,16200
Train_1,Train Trip,Station1,Station17,16020,19320
Train_12,Train Trip,Station18,Station3,16020,24480
Train_10,Light Travel,Station20,Station20,16200,16200
Train_13,Train Trip,Station11,Station3,16440,24660
Train_3,Train Trip,Station14,Station5,16560,17040
Train_14,Train Trip,Station9,Station3,16740,20880
Train_3,Light Travel,Station5,Station5,17040,17040
Train_10,Train Trip,Station20,Station1,17280,21720
Train_4,Train Trip,Station1,Station17,17820,21120
Train_15,Train Trip,Station9,Station21,18120,21240
Train_3,Train Trip,Station5,Station3,18180,26460
Train_16,Train Trip,Station3,Station22,18180,26520
Train_17,Train Trip,Station21,Station17,18360,22920
Train_18,Train Trip,Station23,Station9,18360,24720
Train_19,Train Trip,Station9,Station3,18540,22860
Train_20,Train Trip,Station14,Station5,18600,19020
Train_7,Train Trip,Station11,Station3,18600,26640
Train_2,Train Trip,Station3,Station18,18900,27120
Train_20,Light Travel,Station5,Station5,19020,19020
Train_11,Train Trip,Station9,Station3,19140,23040
Train_6,Light Travel,Station3,Station3,19260,19260
Train_1,Light Travel,Station17,Station17,19320,19320
Train_8,Light Travel,Station3,Station3,19440,19440
Train_21,Train Trip,Station11,Station24,19500,19920
Train_22,Train Trip,Station14,Station18,19740,20460
Train_23,Train Trip,Station11,Station3,19800,28260
Train_24,Train Trip,Station24,Station25,19920,20400
Train_21,Light Travel,Station24,Station24,19920,19920
Train_8,Train Trip,Station3,Station9,19980,23940
Train_20,Train Trip,Station5,Station3,19980,28080
Train_1,Train Trip,Station17,Station21,20160,24840
Train_24,Light Travel,Station25,Station25,20400,20400
Train_22,Light Travel,Station18,Station18,20460,20460
Train_9,Train Trip,Station15,Station13,20760,24300
Train_14,Light Travel,Station3,Station3,20880,20880
Train_4,Light Travel,Station17,Station17,21120,21120
Train_15,Light Travel,Station21,Station21,21240,21240
Train_24,Train Trip,Station25,Station24,21300,21900
Train_22,Train Trip,Station18,Station3,21420,30060
Train_10,Light Travel,Station1,Station1,21720,21720
Train_14,Train Trip,Station3,Station24,21780,30300
Train_24,Light Travel,Station24,Station24,21900,21900
Train_4,Train Trip,Station17,Station1,21960,25320
Train_15,Train Trip,Station21,Station17,21960,26520
Train_25,Train Trip,Station23,Station9,21960,28320
Train_24,Train Trip,Station24,Station3,21960,30240
Train_26,Train Trip,Station14,Station5,22020,22740
Train_27,Train Trip,Station3,Station18,22500,30720
Train_6,Train Trip,Station3,Station9,22680,28140
Train_26,Light Travel,Station5,Station5,22740,22740
Train_28,Train Trip,Station11,Station24,22800,23280
Train_19,Light Travel,Station3,Station3,22860,22860
Train_17,Light Travel,Station17,Station17,22920,22920
Train_11,Light Travel,Station3,Station3,23040,23040
Train_21,Train Trip,Station24,Station25,23280,23880
Train_28,Light Travel,Station24,Station11,23280,23700
Train_5,Light Travel,Station18,Station18,23340,23340
Train_11,Train Trip,Station3,Station9,23580,27540
Train_26,Train Trip,Station5,Station3,23580,31680
Train_17,Train Trip,Station17,Station21,23760,28440
Train_28,Train Trip,Station11,Station3,23760,31860
Train_21,Light Travel,Station25,Station25,23880,23880
Train_8,Light Travel,Station9,Station9,23940,23940
Train_29,Train Trip,Station14,Station18,24240,24900
Train_9,Light Travel,Station13,Station17,24300,24600
Train_12,Light Travel,Station3,Station3,24480,24480
Train_13,Light Travel,Station3,Station3,24660,24660
Train_18,Light Travel,Station9,Station24,24720,28680
Train_1,Light Travel,Station21,Station21,24840,24840
Train_21,Train Trip,Station25,Station24,24900,25500
Train_29,Light Travel,Station18,Station18,24900,24900
Train_10,Train Trip,Station1,Station17,25020,28320
Train_5,Train Trip,Station18,Station3,25020,33660
Train_4,Light Travel,Station1,Station1,25320,25320
Train_19,Train Trip,Station3,Station22,25380,33720
Train_21,Light Travel,Station24,Station24,25500,25500
Train_9,Train Trip,Station17,Station1,25560,28920
Train_1,Train Trip,Station21,Station17,25560,30120
Train_21,Train Trip,Station24,Station17,25560,31440
Train_12,Train Trip,Station3,Station18,26100,34320
Train_3,Light Travel,Station3,Station3,26460,26460
Train_16,Light Travel,Station22,Station22,26520,26520
Train_15,Light Travel,Station17,Station17,26520,26520
Train_7,Light Travel,Station3,Station3,26640,26640
Train_29,Train Trip,Station18,Station3,26820,35280
Train_2,Light Travel,Station18,Station18,27120,27120
Train_7,Train Trip,Station3,Station9,27180,31140
Train_13,Train Trip,Station3,Station26,27300,33360
Train_15,Train Trip,Station17,Station21,27360,32040
Train_11,Light Travel,Station9,Station27,27540,27660
Train_3,Train Trip,Station3,Station9,27900,31920
Train_20,Light Travel,Station3,Station3,28080,28080
Train_6,Light Travel,Station9,Station9,28140,28140
Train_23,Light Travel,Station3,Station3,28260,28260
Train_25,Light Travel,Station9,Station9,28320,28320
Train_10,Light Travel,Station17,Station17,28320,28320
Train_17,Light Travel,Station21,Station21,28440,28440
Train_4,Train Trip,Station1,Station17,28620,31920
Train_9,Light Travel,Station1,Station1,28920,28920
