Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,3300
Train_2,Train Trip,Station2,Station3,0,33600
Train_3,Train Trip,Station4,Station5,0,11820
Train_4,Train Trip,Station6,Station7,0,25080
Train_5,Train Trip,Station8,Station9,0,3180
Train_6,Train Trip,Station10,Station11,0,870
Train_7,Train Trip,Station12,Station5,0,7860
Train_8,Train Trip,Station13,Station7,0,870
Train_9,Train Trip,Station14,Station15,0,1470
Train_10,Train Trip,Station16,Station17,0,828
Train_11,Train Trip,Station18,Station19,0,120
Train_11,Light Travel,Station19,Station29,120,360
Train_12,Train Trip,Station20,Station11,300,4470
Train_10,Light Travel,Station17,Station17,828,828
Train_6,Light Travel,Station11,Station11,870,870
Train_8,Light Travel,Station7,Station7,870,870
Train_9,Light Travel,Station15,Station15,1470,1470
Train_5,Light Travel,Station9,Station9,3180,3180
Train_1,Light Travel,Station1,Station1,3300,3300
Train_12,Light Travel,Station11,Station11,4470,4470
Train_7,Light Travel,Station5,Station5,7860,7860
Train_13,Train Trip,Station5,Station21,9120,26460
Train_3,Light Travel,Station5,Station5,11820,11820
Train_7,Train Trip,Station5,Station7,12240,25080
Train_1,Train Trip,Station1,Station19,13518,20160
Train_14,Train Trip,Station22,Station20,14940,19530
Train_8,Train Trip,Station7,Station19,15240,25350
Train_15,Train Trip,Station23,Station5,15510,16440
Train_16,Train Trip,Station24,Station25,15600,21840
Train_17,Train Trip,Station11,Station20,16140,19800
Train_18,Train Trip,Station26,Station27,16200,30810
Train_19,Train Trip,Station28,Station20,16230,23370
Train_20,Train Trip,Station9,Station29,16320,20040
Train_15,Light Travel,Station5,Station5,16440,16440
Train_21,Train Trip,Station30,Station19,16470,19470
Train_22,Train Trip,Station22,Station20,16740,21330
Train_3,Train Trip,Station5,Station26,16920,20700
Train_10,Train Trip,Station17,Station26,16920,28080
Train_15,Train Trip,Station5,Station7,17160,29850
Train_23,Train Trip,Station31,Station29,17250,24720
Train_24,Train Trip,Station32,Station33,17280,18300
Train_6,Train Trip,Station11,Station20,17460,21810
Train_25,Train Trip,Station28,Station20,17490,25140
Train_26,Train Trip,Station28,Station20,17490,25140
Train_11,Train Trip,Station29,Station9,17520,21180
Train_27,Train Trip,Station25,Station34,17820,25200
Train_28,Train Trip,Station35,Station26,17880,24300
Train_29,Train Trip,Station36,Station37,18090,21690
Train_5,Train Trip,Station9,Station29,18180,21840
