Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,1080
Train_2,Train Trip,Station2,Station3,0,1320
Train_3,Train Trip,Station4,Station5,0,1440
Train_4,Train Trip,Station6,Station7,0,1860
Train_5,Train Trip,Station8,Station9,0,2280
Train_6,Train Trip,Station10,Station11,0,2880
Train_7,Train Trip,Station12,Station5,0,5040
Train_8,Train Trip,Station13,Station14,0,525300
Train_9,Train Trip,Station3,Station1,480,2880
Train_10,Train Trip,Station1,Station3,600,3240
Train_1,Light Travel,Station1,Station1,1080,1080
Train_2,Light Travel,Station3,Station3,1320,1320
Train_3,Light Travel,Station5,Station5,1440,1440
Train_4,Light Travel,Station7,Station7,1860,1860
Train_1,Train Trip,Station1,Station14,2100,3480
Train_5,Light Travel,Station9,Station9,2280,2280
Train_6,Light Travel,Station11,Station19,2880,3000
Train_9,Light Travel,Station1,Station1,2880,2880
Train_10,Light Travel,Station3,Station3,3240,3240
Train_9,Train Trip,Station1,Station14,3360,4860
Train_1,Light Travel,Station14,Station14,3480,3480
Train_10,Train Trip,Station3,Station14,4020,6900
Train_9,Light Travel,Station14,Station14,4860,4860
Train_7,Light Travel,Station5,Station5,5040,5040
Train_10,Light Travel,Station14,Station14,6900,6900
Train_10,Train Trip,Station14,Station3,12420,15360
Train_4,Train Trip,Station7,Station15,13080,14280
Train_5,Train Trip,Station9,Station16,13860,15960
Train_11,Train Trip,Station17,Station16,13920,16080
Train_9,Train Trip,Station14,Station1,14220,15660
Train_4,Light Travel,Station15,Station15,14280,14280
Train_12,Train Trip,Station16,Station18,14700,17820
Train_13,Train Trip,Station17,Station18,15000,15360
Train_14,Train Trip,Station17,Station18,15000,15360
Train_4,Train Trip,Station15,Station7,15180,16620
Train_15,Train Trip,Station19,Station7,15300,16860
Train_6,Train Trip,Station19,Station7,15300,16860
Train_16,Train Trip,Station19,Station7,15300,16860
Train_10,Light Travel,Station3,Station3,15360,15360
Train_13,Light Travel,Station18,Station18,15360,15360
Train_14,Light Travel,Station18,Station18,15360,15360
Train_17,Train Trip,Station9,Station16,15660,17760
Train_9,Light Travel,Station1,Station1,15660,15660
Train_5,Light Travel,Station16,Station16,15960,15960
Train_1,Train Trip,Station14,Station1,16020,17820
Train_11,Light Travel,Station16,Station16,16080,16080
Train_18,Train Trip,Station7,Station5,16140,23040
Train_19,Train Trip,Station7,Station5,16140,23040
Train_14,Train Trip,Station18,Station16,16200,17880
Train_5,Train Trip,Station16,Station11,16320,18720
Train_11,Train Trip,Station16,Station11,16320,18720
Train_7,Train Trip,Station5,Station7,16560,23460
Train_4,Light Travel,Station7,Station7,16620,16620
Train_2,Train Trip,Station3,Station1,16680,19080
Train_9,Train Trip,Station1,Station3,16860,19320
Train_15,Light Travel,Station7,Station7,16860,16860
Train_6,Light Travel,Station7,Station7,16860,16860
Train_16,Light Travel,Station7,Station7,16860,16860
Train_20,Train Trip,Station17,Station16,16920,19680
Train_21,Train Trip,Station9,Station16,17460,19560
Train_13,Train Trip,Station18,Station17,17520,17880
Train_17,Light Travel,Station16,Station16,17760,17760
Train_12,Light Travel,Station18,Station18,17820,17820
Train_1,Light Travel,Station1,Station1,17820,17820
Train_14,Light Travel,Station16,Station16,17880,17880
Train_13,Light Travel,Station17,Station17,17880,17880
Train_16,Train Trip,Station7,Station11,17940,20340
Train_14,Train Trip,Station16,Station11,18120,20520
Train_17,Train Trip,Station16,Station11,18120,20520
Train_3,Train Trip,Station5,Station7,18300,25260
Train_22,Train Trip,Station20,Station9,18480,19140
Train_10,Train Trip,Station3,Station1,18480,20880
Train_12,Train Trip,Station18,Station17,18600,18960
Train_1,Train Trip,Station1,Station3,18600,21120
Train_5,Light Travel,Station11,Station11,18720,18720
Train_11,Light Travel,Station11,Station11,18720,18720
Train_12,Light Travel,Station17,Station17,18960,18960
Train_4,Train Trip,Station7,Station16,19020,19680
Train_15,Train Trip,Station7,Station16,19020,19680
Train_2,Light Travel,Station1,Station1,19080,19080
Train_22,Light Travel,Station9,Station9,19140,19140
Train_22,Train Trip,Station9,Station16,19260,21360
Train_11,Train Trip,Station11,Station7,19260,21660
Train_5,Train Trip,Station11,Station7,19260,21660
Train_13,Train Trip,Station17,Station18,19320,19620
