Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,120
Train_2,Train Trip,Station2,Station3,0,420
Train_3,Train Trip,Station4,Station5,0,540
Train_4,Train Trip,Station6,Station5,0,540
Train_5,Train Trip,Station7,Station8,0,600
Train_6,Train Trip,Station9,Station10,0,720
Train_7,Train Trip,Station11,Station12,0,1200
Train_8,Train Trip,Station13,Station14,0,1260
Train_9,Train Trip,Station15,Station16,0,1320
Train_10,Train Trip,Station17,Station18,0,1380
Train_11,Train Trip,Station19,Station20,0,1560
Train_12,Train Trip,Station21,Station1,0,1920
Train_13,Train Trip,Station22,Station23,0,2280
Train_14,Train Trip,Station24,Station14,0,2880
Train_15,Train Trip,Station25,Station26,0,4320
Train_16,Train Trip,Station27,Station28,0,4740
Train_17,Train Trip,Station29,Station30,0,4740
Train_18,Train Trip,Station31,Station32,0,4800
Train_19,Train Trip,Station33,Station34,0,4800
Train_20,Train Trip,Station35,Station36,0,4800
Train_21,Train Trip,Station37,Station38,0,4920
Train_22,Train Trip,Station39,Station34,0,5940
Train_23,Train Trip,Station40,Station41,0,6960
Train_24,Train Trip,Station42,Station12,0,7680
Train_25,Train Trip,Station43,Station44,0,9420
Train_26,Train Trip,Station45,Station46,0,11040
Train_27,Train Trip,Station47,Station5,0,12840
Train_28,Train Trip,Station48,Station49,0,13260
Train_29,Train Trip,Station50,Station41,0,14160
Train_30,Train Trip,Station51,Station3,0,14520
Train_31,Train Trip,Station52,Station3,0,17340
Train_32,Train Trip,Station53,Station54,0,20520
Train_33,Train Trip,Station55,Station56,0,21780
Train_34,Train Trip,Station57,Station58,0,22380
Train_35,Train Trip,Station59,Station60,0,25440
Train_36,Train Trip,Station61,Station62,0,28440
Train_37,Train Trip,Station63,Station64,0,30540
Train_38,Train Trip,Station65,Station66,0,32700
Train_39,Train Trip,Station67,Station54,0,523620
Train_40,Train Trip,Station68,Station34,0,523980
Train_41,Train Trip,Station69,Station70,0,527220
Train_42,Train Trip,Station71,Station32,0,528960
Train_43,Train Trip,Station72,Station73,0,530340
Train_44,Train Trip,Station74,Station75,0,532860
Train_45,Train Trip,Station76,Station77,0,534360
Train_46,Train Trip,Station78,Station79,0,534420
Train_47,Train Trip,Station80,Station81,0,535320
Train_48,Train Trip,Station82,Station83,0,544860
Train_1,Light Travel,Station1,Station1,120,120
Train_2,Light Travel,Station3,Station3,420,420
Train_2,Train Trip,Station3,Station84,540,18240
Train_3,Light Travel,Station5,Station5,540,540
Train_4,Light Travel,Station5,Station5,540,540
Train_5,Light Travel,Station8,Station8,600,600
Train_49,Train Trip,Station14,Station85,660,4740
Train_6,Light Travel,Station10,Station10,720,720
Train_50,Train Trip,Station86,Station38,1140,4560
Train_51,Train Trip,Station87,Station88,1200,1800
Train_7,Light Travel,Station12,Station99,1200,1620
Train_8,Light Travel,Station14,Station14,1260,1260
Train_3,Train Trip,Station5,Station89,1320,5940
Train_6,Train Trip,Station10,Station90,1320,11820
Train_9,Light Travel,Station16,Station16,1320,1320
Train_10,Light Travel,Station18,Station101,1380,1740
Train_52,Train Trip,Station49,Station84,1560,14760
Train_11,Light Travel,Station20,Station20,1560,1560
Train_9,Train Trip,Station16,Station91,1740,2220
Train_5,Train Trip,Station8,Station91,1740,2580
Train_53,Train Trip,Station92,Station93,1740,15180
Train_54,Train Trip,Station49,Station86,1800,7020
Train_51,Light Travel,Station88,Station88,1800,1800
Train_55,Train Trip,Station54,Station18,1860,2280
Train_56,Train Trip,Station54,Station94,1860,4500
Train_57,Train Trip,Station54,Station94,1860,4500
Train_12,Light Travel,Station1,Station1,1920,1920
Train_58,Train Trip,Station84,Station95,2160,19860
Train_59,Train Trip,Station96,Station97,2220,2520
Train_11,Train Trip,Station20,Station79,2220,5460
Train_9,Light Travel,Station91,Station91,2220,2220
Train_13,Light Travel,Station23,Station110,2280,4200
Train_55,Light Travel,Station18,Station18,2280,2280
Train_59,Light Travel,Station97,Station79,2520,3480
Train_5,Light Travel,Station91,Station91,2580,2580
Train_60,Train Trip,Station77,Station36,2700,15180
Train_14,Light Travel,Station14,Station14,2880,2880
Train_51,Train Trip,Station88,Station98,3060,7200
Train_61,Train Trip,Station86,Station73,4320,11940
Train_62,Train Trip,Station86,Station73,4320,11940
Train_15,Light Travel,Station26,Station26,4320,4320
Train_56,Light Travel,Station94,Station94,4500,4500
Train_57,Light Travel,Station94,Station94,4500,4500
Train_50,Light Travel,Station38,Station38,4560,4560
Train_16,Light Travel,Station28,Station28,4740,4740
Train_17,Light Travel,Station30,Station30,4740,4740
Train_49,Light Travel,Station85,Station85,4740,4740
Train_18,Light Travel,Station32,Station32,4800,4800
Train_19,Light Travel,Station34,Station34,4800,4800
Train_20,Light Travel,Station36,Station36,4800,4800
Train_7,Train Trip,Station99,Station100,4860,9120
Train_20,Train Trip,Station36,Station77,4860,15960
Train_21,Light Travel,Station38,Station38,4920,4920
Train_10,Train Trip,Station101,Station32,4980,10560
Train_11,Light Travel,Station79,Station79,5460,5460
Train_63,Train Trip,Station101,Station81,5760,16920
Train_64,Train Trip,Station102,Station26,5820,9540
Train_22,Light Travel,Station34,Station34,5940,5940
Train_3,Light Travel,Station89,Station89,5940,5940
Train_55,Train Trip,Station18,Station83,6120,26460
Train_57,Train Trip,Station94,Station46,6240,24000
Train_50,Train Trip,Station38,Station36,6420,14340
Train_3,Train Trip,Station89,Station75,6420,14460
Train_59,Train Trip,Station79,Station70,6840,8820
Train_23,Light Travel,Station41,Station41,6960,6960
Train_54,Light Travel,Station86,Station5,7020,7380
Train_65,Train Trip,Station34,Station56,7140,14100
Train_19,Train Trip,Station34,Station103,7140,16740
Train_21,Train Trip,Station38,Station28,7140,17220
Train_51,Light Travel,Station98,Station98,7200,7200
Train_24,Light Travel,Station12,Station12,7680,7680
Train_56,Train Trip,Station94,Station104,7740,11340
Train_59,Light Travel,Station70,Station70,8820,8820
Train_23,Train Trip,Station41,Station105,8880,9360
Train_7,Light Travel,Station100,Station23,9120,10380
Train_23,Light Travel,Station105,Station105,9360,9360
Train_25,Light Travel,Station44,Station101,9420,9660
Train_64,Light Travel,Station26,Station34,9540,9900
Train_7,Train Trip,Station23,Station75,10440,13260
Train_10,Light Travel,Station32,Station32,10560,10560
Train_16,Train Trip,Station28,Station77,10800,12180
Train_9,Train Trip,Station91,Station8,10920,12000
Train_24,Train Trip,Station12,Station106,11040,15000
Train_26,Light Travel,Station46,Station49,11040,11160
Train_56,Light Travel,Station104,Station104,11340,11340
Train_6,Light Travel,Station90,Station120,11820,20520
Train_61,Light Travel,Station73,Station134,11940,16440
Train_62,Light Travel,Station73,Station137,11940,12720
Train_9,Light Travel,Station8,Station8,12000,12000
Train_16,Light Travel,Station77,Station77,12180,12180
Train_27,Light Travel,Station5,Station5,12840,12840
Train_15,Train Trip,Station26,Station44,13140,42780
Train_28,Light Travel,Station49,Station49,13260,13260
Train_7,Light Travel,Station75,Station131,13260,14040
Train_17,Train Trip,Station30,Station107,13620,19500
Train_25,Train Trip,Station101,Station108,13740,18480
Train_66,Train Trip,Station34,Station109,13740,22980
Train_22,Train Trip,Station34,Station109,13740,22980
Train_28,Train Trip,Station49,Station73,13980,15840
Train_9,Train Trip,Station8,Station36,14100,28680
Train_65,Light Travel,Station56,Station56,14100,14100
Train_29,Light Travel,Station41,Station41,14160,14160
Train_13,Train Trip,Station110,Station105,14280,14940
Train_59,Train Trip,Station70,Station111,14280,17880
Train_14,Train Trip,Station14,Station8,14280,23340
Train_26,Train Trip,Station49,Station44,14280,28260
Train_67,Train Trip,Station36,Station112,14340,24060
Train_50,Light Travel,Station36,Station5,14340,15060
Train_65,Train Trip,Station56,Station103,14400,16740
Train_3,Light Travel,Station75,Station75,14460,14460
Train_30,Light Travel,Station3,Station3,14520,14520
Train_52,Light Travel,Station84,Station84,14760,14760
Train_68,Train Trip,Station113,Station85,14940,15240
Train_49,Train Trip,Station85,Station14,14940,19260
Train_13,Light Travel,Station105,Station115,14940,15060
Train_30,Train Trip,Station3,Station103,15000,22260
Train_24,Light Travel,Station106,Station106,15000,15000
Train_53,Light Travel,Station93,Station119,15180,15420
Train_60,Light Travel,Station36,Station36,15180,15180
Train_68,Light Travel,Station85,Station85,15240,15240
Train_56,Train Trip,Station104,Station54,15300,16380
Train_8,Train Trip,Station14,Station114,15300,16620
Train_13,Train Trip,Station115,Station44,15420,16140
Train_68,Train Trip,Station85,Station14,15540,19440
Train_23,Train Trip,Station105,Station116,15720,16200
Train_28,Light Travel,Station73,Station137,15840,16620
Train_16,Train Trip,Station77,Station36,15960,25620
Train_20,Light Travel,Station77,Station77,15960,15960
Train_12,Train Trip,Station1,Station105,16020,19320
Train_69,Train Trip,Station8,Station14,16020,24480
Train_60,Train Trip,Station36,Station117,16020,31080
Train_13,Light Travel,Station44,Station101,16140,16380
Train_29,Train Trip,Station41,Station54,16200,16980
Train_23,Light Travel,Station116,Station116,16200,16200
Train_64,Train Trip,Station34,Station62,16260,24960
Train_56,Light Travel,Station54,Station85,16380,17820
Train_70,Train Trip,Station32,Station14,16440,24660
Train_5,Train Trip,Station91,Station16,16560,17040
Train_8,Light Travel,Station114,Station114,16620,16620
Train_71,Train Trip,Station85,Station14,16740,20880
Train_19,Light Travel,Station103,Station26,16740,25860
Train_65,Light Travel,Station103,Station103,16740,16740
Train_63,Light Travel,Station81,Station81,16920,16920
Train_29,Light Travel,Station54,Station101,16980,17220
Train_5,Light Travel,Station16,Station16,17040,17040
Train_13,Train Trip,Station101,Station118,17160,24420
Train_21,Light Travel,Station28,Station28,17220,17220
Train_23,Train Trip,Station116,Station1,17280,21720
