Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,4830
Train_2,Train Trip,Station2,Station3,0,7020
Train_3,Train Trip,Station4,Station5,0,2850
Train_4,Train Trip,Station6,Station3,0,4740
Train_5,Train Trip,Station7,Station8,0,22860
Train_6,Train Trip,Station9,Station10,0,12960
Train_7,Train Trip,Station11,Station12,0,30540
Train_8,Train Trip,Station13,Station14,0,25440
Train_9,Train Trip,Station15,Station16,0,7920
Train_10,Train Trip,Station17,Station18,0,24990
Train_11,Train Trip,Station19,Station20,0,28710
Train_12,Train Trip,Station21,Station16,0,3540
Train_13,Train Trip,Station22,Station23,0,25080
Train_14,Train Trip,Station24,Station25,0,173880
Train_15,Train Trip,Station26,Station27,0,133200
Train_16,Train Trip,Station28,Station29,0,14400
Train_17,Train Trip,Station30,Station31,0,18300
Train_18,Train Trip,Station32,Station33,0,330
Train_19,Train Trip,Station34,Station16,0,5280
Train_20,Train Trip,Station35,Station36,0,1350
Train_21,Train Trip,Station37,Station38,0,198
Train_22,Train Trip,Station39,Station40,0,1140
Train_23,Train Trip,Station41,Station42,0,4170
Train_24,Train Trip,Station43,Station44,0,1140
Train_25,Train Trip,Station45,Station20,0,2100
Train_26,Train Trip,Station46,Station16,0,180
Train_27,Train Trip,Station47,Station29,0,4800
Train_28,Train Trip,Station48,Station10,0,3360
Train_29,Train Trip,Station49,Station12,0,1020
Train_30,Train Trip,Station50,Station20,0,300
Train_31,Train Trip,Station51,Station52,0,2040
Train_32,Train Trip,Station53,Station54,0,11940
Train_33,Train Trip,Station55,Station56,0,5100
Train_34,Train Trip,Station57,Station58,0,77400
Train_35,Train Trip,Station59,Station60,0,4080
Train_36,Train Trip,Station61,Station62,0,6540
Train_37,Train Trip,Station63,Station64,0,16200
Train_38,Train Trip,Station65,Station64,0,16200
Train_39,Train Trip,Station66,Station67,0,6180
Train_40,Train Trip,Station68,Station67,0,5580
Train_41,Train Trip,Station69,Station70,0,1080
Train_42,Train Trip,Station71,Station72,0,240
Train_43,Train Trip,Station73,Station72,0,31140
Train_44,Train Trip,Station74,Station75,0,5160
Train_45,Train Trip,Station76,Station77,0,2460
Train_46,Train Trip,Station78,Station79,0,17820
Train_47,Train Trip,Station80,Station81,0,8880
Train_48,Train Trip,Station82,Station67,0,6960
Train_49,Train Trip,Station83,Station84,0,6660
Train_50,Train Trip,Station85,Station58,0,3660
Train_51,Train Trip,Station86,Station87,0,3780
Train_52,Train Trip,Station88,Station87,0,2580
Train_53,Train Trip,Station81,Station89,60,10740
Train_26,Light Travel,Station16,Station16,180,180
Train_54,Train Trip,Station38,Station90,198,240
