Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,50460
Train_1,Light Travel,Station1,Station1,50460,50460
Train_1,Train Trip,Station1,Station26,62520,67260
Train_1,Light Travel,Station26,Station26,67260,67260
Train_1,Train Trip,Station26,Station32,68040,80340
Train_1,Light Travel,Station32,Station32,80340,80340
Train_1,Train Trip,Station32,Station26,93600,109740
Train_1,Light Travel,Station26,Station22,109740,111600
Train_1,Train Trip,Station22,Station26,126960,130140
Train_1,Light Travel,Station26,Station25,130140,132300
Train_1,Train Trip,Station25,Station26,134460,137280
Train_1,Light Travel,Station26,Station26,137280,137280
Train_1,Train Trip,Station26,Station25,150720,154020
Train_1,Light Travel,Station25,Station25,154020,154020
Train_1,Train Trip,Station25,Station26,207240,217440
Train_1,Light Travel,Station26,Station14,217440,219960
Train_1,Train Trip,Station14,Station25,234720,238680
Train_1,Light Travel,Station25,Station25,238680,238680
Train_1,Train Trip,Station25,Station1,241980,246600
Train_1,Light Travel,Station1,Station30,246600,292020
Train_1,Train Trip,Station30,Station1,311040,357120
Train_1,Light Travel,Station1,Station37,357120,369420
Train_1,Train Trip,Station37,Station1,391800,410640
Train_1,Light Travel,Station1,Station1,410640,410640
Train_1,Train Trip,Station1,Station26,494520,499260
Train_1,Light Travel,Station26,Station26,499260,499260
Train_1,Train Trip,Station26,Station32,500040,512340
Train_1,Light Travel,Station32,Station32,512340,512340
Train_1,Train Trip,Station32,Station26,525600,541740
Train_1,Light Travel,Station26,Station22,541740,543600
Train_1,Train Trip,Station22,Station26,558960,562140
Train_1,Light Travel,Station26,Station14,562140,564660
Train_1,Train Trip,Station14,Station25,580320,584280
Train_1,Light Travel,Station25,Station25,584280,584280
Train_1,Train Trip,Station25,Station1,587580,592200
Train_1,Light Travel,Station1,Station10,592200,595680
Train_1,Train Trip,Station10,Station3,599640,604800
Train_10,Train Trip,Station16,Station17,18000,24540
Train_10,Light Travel,Station17,Station33,24540,33240
Train_10,Train Trip,Station33,Station31,51960,60120
Train_10,Light Travel,Station31,Station6,60120,67740
Train_10,Train Trip,Station6,Station7,87960,97860
Train_10,Light Travel,Station7,Station22,97860,105000
Train_10,Train Trip,Station22,Station26,108000,110640
Train_10,Light Travel,Station26,Station26,110640,110640
Train_10,Train Trip,Station26,Station32,117180,133440
Train_10,Light Travel,Station32,Station32,133440,133440
Train_10,Train Trip,Station32,Station26,137940,154560
Train_10,Light Travel,Station26,Station20,154560,159420
Train_10,Train Trip,Station20,Station21,195060,198660
Train_10,Light Travel,Station21,Station22,198660,204540
Train_10,Train Trip,Station22,Station26,213360,216540
Train_10,Light Travel,Station26,Station26,216540,216540
Train_10,Train Trip,Station26,Station25,237120,240420
Train_10,Light Travel,Station25,Station10,240420,245340
Train_10,Train Trip,Station10,Station1,254040,263640
Train_10,Light Travel,Station1,Station1,263640,263640
Train_10,Train Trip,Station1,Station10,267600,276780
Train_10,Light Travel,Station10,Station10,276780,276780
Train_10,Train Trip,Station10,Station1,340440,350040
Train_10,Light Travel,Station1,Station1,350040,350040
Train_10,Train Trip,Station1,Station30,388380,450000
Train_10,Light Travel,Station30,Station30,450000,450000
Train_10,Train Trip,Station30,Station0,597600,604800
Train_11,Train Trip,Station18,Station19,19620,40380
Train_11,Light Travel,Station19,Station19,40380,40380
Train_11,Train Trip,Station19,Station18,108300,124860
Train_11,Light Travel,Station18,Station1,124860,125400
Train_11,Train Trip,Station1,Station30,129180,190800
Train_11,Light Travel,Station30,Station30,190800,190800
Train_11,Train Trip,Station30,Station1,252000,309660
Train_11,Light Travel,Station1,Station1,309660,309660
Train_11,Train Trip,Station1,Station26,408120,412860
Train_11,Light Travel,Station26,Station26,412860,412860
Train_11,Train Trip,Station26,Station32,413640,425940
Train_11,Light Travel,Station32,Station32,425940,425940
Train_11,Train Trip,Station32,Station26,483540,500160
Train_11,Light Travel,Station26,Station26,500160,500160
Train_11,Train Trip,Station26,Station25,506400,510240
Train_11,Light Travel,Station25,Station1,510240,511680
Train_11,Train Trip,Station1,Station10,526800,535980
Train_11,Light Travel,Station10,Station6,535980,542700
Train_11,Train Trip,Station6,Station31,564840,579420
Train_12,Train Trip,Station20,Station21,22260,25860
Train_12,Light Travel,Station21,Station19,25860,27840
Train_12,Train Trip,Station19,Station18,32880,53820
Train_12,Light Travel,Station18,Station12,53820,65100
Train_12,Train Trip,Station12,Station11,68220,75120
Train_12,Light Travel,Station11,Station11,75120,75120
Train_12,Train Trip,Station11,Station12,95340,100500
Train_12,Light Travel,Station12,Station12,100500,100500
Train_12,Train Trip,Station12,Station11,154620,161520
Train_12,Light Travel,Station11,Station11,161520,161520
Train_12,Train Trip,Station11,Station12,181740,186900
Train_12,Light Travel,Station12,Station12,186900,186900
Train_12,Train Trip,Station12,Station11,241020,247920
Train_12,Light Travel,Station11,Station11,247920,247920
Train_12,Train Trip,Station11,Station12,268140,273300
Train_12,Light Travel,Station12,Station11,273300,275460
Train_12,Train Trip,Station11,Station12,440940,446100
Train_12,Light Travel,Station12,Station27,446100,453120
Train_12,Train Trip,Station27,Station28,468540,482520
Train_12,Light Travel,Station28,Station35,482520,483060
Train_12,Train Trip,Station35,Station28,503400,509040
Train_12,Light Travel,Station28,Station8,509040,509160
Train_12,Train Trip,Station8,Station9,522960,530280
Train_12,Light Travel,Station9,Station27,530280,535920
Train_12,Train Trip,Station27,Station28,554940,568920
Train_12,Light Travel,Station28,Station35,568920,569460
Train_12,Train Trip,Station35,Station28,589800,595440
Train_13,Train Trip,Station19,Station22,32880,49140
Train_13,Light Travel,Station22,Station1,49140,50940
Train_13,Train Trip,Station1,Station34,67200,78480
Train_13,Light Travel,Station34,Station16,78480,82500
Train_13,Train Trip,Station16,Station17,104400,110940
Train_13,Light Travel,Station17,Station6,110940,121140
Train_13,Train Trip,Station6,Station31,132840,147420
Train_13,Light Travel,Station31,Station16,147420,157860
Train_13,Train Trip,Station16,Station17,190800,197340
Train_13,Light Travel,Station17,Station33,197340,206040
Train_13,Train Trip,Station33,Station31,224760,232920
Train_13,Light Travel,Station31,Station6,232920,240540
Train_13,Train Trip,Station6,Station7,260760,270660
Train_13,Light Travel,Station7,Station1,270660,275640
Train_13,Train Trip,Station1,Station30,301980,363600
Train_13,Light Travel,Station30,Station30,363600,363600
Train_13,Train Trip,Station30,Station1,511200,568860
Train_13,Light Travel,Station1,Station1,568860,568860
Train_13,Train Trip,Station1,Station26,580920,585660
Train_13,Light Travel,Station26,Station26,585660,585660
Train_13,Train Trip,Station26,Station32,586440,598740
Train_14,Train Trip,Station25,Station26,34440,44640
Train_14,Light Travel,Station26,Station14,44640,47160
Train_14,Train Trip,Station14,Station25,61920,65880
Train_14,Light Travel,Station25,Station25,65880,65880
Train_14,Train Trip,Station25,Station1,69180,73800
Train_14,Light Travel,Station1,Station1,73800,73800
Train_14,Train Trip,Station1,Station26,148920,153660
Train_14,Light Travel,Station26,Station26,153660,153660
Train_14,Train Trip,Station26,Station32,154440,166740
Train_14,Light Travel,Station32,Station32,166740,166740
Train_14,Train Trip,Station32,Station26,224340,240960
Train_14,Light Travel,Station26,Station22,240960,242820
Train_14,Train Trip,Station22,Station26,280800,283440
Train_14,Light Travel,Station26,Station26,283440,283440
Train_14,Train Trip,Station26,Station32,289980,306240
Train_14,Light Travel,Station32,Station32,306240,306240
Train_14,Train Trip,Station32,Station26,397140,413760
Train_14,Light Travel,Station26,Station26,413760,413760
Train_14,Train Trip,Station26,Station25,475140,479640
Train_14,Light Travel,Station25,Station25,479640,479640
Train_14,Train Trip,Station25,Station19,496140,511800
Train_14,Light Travel,Station19,Station22,511800,519840
Train_14,Train Trip,Station22,Station26,540000,542640
Train_14,Light Travel,Station26,Station26,542640,542640
Train_14,Train Trip,Station26,Station32,549180,565440
Train_14,Light Travel,Station32,Station32,565440,565440
Train_14,Train Trip,Station32,Station26,569940,586560
Train_15,Train Trip,Station6,Station31,46440,61020
Train_15,Light Travel,Station31,Station33,61020,65880
Train_15,Train Trip,Station33,Station31,138360,146520
Train_15,Light Travel,Station31,Station6,146520,154140
Train_15,Train Trip,Station6,Station7,174360,184260
