Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,20190,21150
Train_1,Light Travel,Station1,Station1,21150,21150
Train_1,Train Trip,Station1,Station0,22140,23130
Train_1,Light Travel,Station0,Station0,23130,23130
Train_1,Train Trip,Station0,Station1,23790,24750
Train_1,Light Travel,Station1,Station1,24750,24750
Train_1,Train Trip,Station1,Station0,25740,26730
Train_1,Light Travel,Station0,Station0,26730,26730
Train_1,Train Trip,Station0,Station1,27390,28350
Train_1,Light Travel,Station1,Station1,28350,28350
Train_1,Train Trip,Station1,Station0,29340,30330
Train_1,Light Travel,Station0,Station0,30330,30330
Train_1,Train Trip,Station0,Station1,30990,31950
Train_1,Light Travel,Station1,Station1,31950,31950
Train_1,Train Trip,Station1,Station0,32940,33930
Train_1,Light Travel,Station0,Station0,33930,33930
Train_1,Train Trip,Station0,Station1,34590,35550
Train_1,Light Travel,Station1,Station1,35550,35550
Train_1,Train Trip,Station1,Station0,36540,37530
Train_1,Light Travel,Station0,Station0,37530,37530
Train_1,Train Trip,Station0,Station1,38190,39150
Train_1,Light Travel,Station1,Station1,39150,39150
Train_1,Train Trip,Station1,Station0,40140,41130
Train_1,Light Travel,Station0,Station0,41130,41130
Train_1,Train Trip,Station0,Station1,41790,42750
Train_1,Light Travel,Station1,Station1,42750,42750
Train_1,Train Trip,Station1,Station0,43740,44730
Train_1,Light Travel,Station0,Station0,44730,44730
Train_1,Train Trip,Station0,Station1,45390,46350
Train_1,Light Travel,Station1,Station1,46350,46350
Train_1,Train Trip,Station1,Station0,47340,48330
Train_1,Light Travel,Station0,Station0,48330,48330
Train_1,Train Trip,Station0,Station1,48990,49950
Train_1,Light Travel,Station1,Station1,49950,49950
Train_1,Train Trip,Station1,Station0,50940,51930
Train_1,Light Travel,Station0,Station0,51930,51930
Train_1,Train Trip,Station0,Station1,52590,53550
Train_1,Light Travel,Station1,Station1,53550,53550
Train_1,Train Trip,Station1,Station0,54540,55530
Train_1,Light Travel,Station0,Station0,55530,55530
Train_1,Train Trip,Station0,Station1,56190,57150
Train_1,Light Travel,Station1,Station1,57150,57150
Train_1,Train Trip,Station1,Station0,58140,59130
Train_1,Light Travel,Station0,Station0,59130,59130
Train_1,Train Trip,Station0,Station1,59790,60750
Train_1,Light Travel,Station1,Station1,60750,60750
Train_1,Train Trip,Station1,Station0,61740,62730
Train_1,Light Travel,Station0,Station0,62730,62730
Train_1,Train Trip,Station0,Station1,63390,64350
Train_1,Light Travel,Station1,Station1,64350,64350
Train_1,Train Trip,Station1,Station0,65340,66330
Train_1,Light Travel,Station0,Station0,66330,66330
Train_1,Train Trip,Station0,Station1,66990,67950
Train_1,Light Travel,Station1,Station1,67950,67950
Train_1,Train Trip,Station1,Station0,68940,69930
Train_1,Light Travel,Station0,Station0,69930,69930
Train_1,Train Trip,Station0,Station1,70590,71550
Train_1,Light Travel,Station1,Station1,71550,71550
Train_1,Train Trip,Station1,Station0,72540,73530
Train_1,Light Travel,Station0,Station0,73530,73530
Train_1,Train Trip,Station0,Station1,74190,75150
Train_1,Light Travel,Station1,Station1,75150,75150
Train_1,Train Trip,Station1,Station0,76140,77130
Train_1,Light Travel,Station0,Station0,77130,77130
Train_1,Train Trip,Station0,Station1,77790,78750
Train_1,Light Travel,Station1,Station1,78750,78750
Train_1,Train Trip,Station1,Station0,79740,80730
Train_1,Light Travel,Station0,Station0,80730,80730
Train_1,Train Trip,Station0,Station1,81390,82350
Train_1,Light Travel,Station1,Station1,82350,82350
Train_1,Train Trip,Station1,Station0,83340,84330
Train_1,Light Travel,Station0,Station0,84330,84330
Train_1,Train Trip,Station0,Station1,108390,109350
Train_1,Light Travel,Station1,Station1,109350,109350
Train_1,Train Trip,Station1,Station0,110340,111330
Train_1,Light Travel,Station0,Station0,111330,111330
Train_1,Train Trip,Station0,Station1,111990,112950
Train_1,Light Travel,Station1,Station1,112950,112950
Train_1,Train Trip,Station1,Station0,113940,114930
Train_1,Light Travel,Station0,Station0,114930,114930
Train_1,Train Trip,Station0,Station1,115590,116550
Train_1,Light Travel,Station1,Station1,116550,116550
Train_1,Train Trip,Station1,Station0,117540,118530
Train_1,Light Travel,Station0,Station0,118530,118530
Train_1,Train Trip,Station0,Station1,119190,120150
Train_1,Light Travel,Station1,Station1,120150,120150
Train_1,Train Trip,Station1,Station0,121140,122130
Train_1,Light Travel,Station0,Station0,122130,122130
Train_1,Train Trip,Station0,Station1,122790,123750
Train_1,Light Travel,Station1,Station1,123750,123750
Train_1,Train Trip,Station1,Station0,124740,125730
Train_1,Light Travel,Station0,Station0,125730,125730
Train_1,Train Trip,Station0,Station1,126390,127350
Train_1,Light Travel,Station1,Station1,127350,127350
Train_1,Train Trip,Station1,Station0,128340,129330
Train_1,Light Travel,Station0,Station0,129330,129330
Train_1,Train Trip,Station0,Station1,129990,130950
Train_1,Light Travel,Station1,Station1,130950,130950
Train_1,Train Trip,Station1,Station0,131940,132930
Train_1,Light Travel,Station0,Station0,132930,132930
Train_1,Train Trip,Station0,Station1,133590,134550
Train_1,Light Travel,Station1,Station1,134550,134550
Train_1,Train Trip,Station1,Station0,135540,136530
Train_1,Light Travel,Station0,Station0,136530,136530
Train_1,Train Trip,Station0,Station1,137190,138150
Train_1,Light Travel,Station1,Station1,138150,138150
Train_1,Train Trip,Station1,Station0,139140,140130
Train_1,Light Travel,Station0,Station0,140130,140130
Train_1,Train Trip,Station0,Station1,140790,141750
Train_1,Light Travel,Station1,Station1,141750,141750
Train_1,Train Trip,Station1,Station0,142740,143730
Train_1,Light Travel,Station0,Station0,143730,143730
Train_1,Train Trip,Station0,Station1,144390,145350
Train_1,Light Travel,Station1,Station1,145350,145350
Train_1,Train Trip,Station1,Station0,146340,147330
Train_1,Light Travel,Station0,Station0,147330,147330
Train_1,Train Trip,Station0,Station1,147990,148950
Train_1,Light Travel,Station1,Station1,148950,148950
Train_1,Train Trip,Station1,Station0,149940,150930
Train_1,Light Travel,Station0,Station0,150930,150930
Train_1,Train Trip,Station0,Station1,151590,152550
Train_1,Light Travel,Station1,Station1,152550,152550
Train_1,Train Trip,Station1,Station0,153540,154530
Train_1,Light Travel,Station0,Station0,154530,154530
Train_1,Train Trip,Station0,Station1,155190,156150
Train_1,Light Travel,Station1,Station1,156150,156150
Train_1,Train Trip,Station1,Station0,157140,158130
Train_1,Light Travel,Station0,Station0,158130,158130
Train_1,Train Trip,Station0,Station1,158790,159750
Train_1,Light Travel,Station1,Station1,159750,159750
Train_1,Train Trip,Station1,Station0,160740,161730
Train_1,Light Travel,Station0,Station0,161730,161730
Train_1,Train Trip,Station0,Station1,162390,163350
Train_1,Light Travel,Station1,Station1,163350,163350
Train_1,Train Trip,Station1,Station0,164340,165330
Train_1,Light Travel,Station0,Station0,165330,165330
Train_1,Train Trip,Station0,Station1,165990,166950
Train_1,Light Travel,Station1,Station1,166950,166950
Train_1,Train Trip,Station1,Station0,167940,168930
Train_1,Light Travel,Station0,Station0,168930,168930
Train_1,Train Trip,Station0,Station1,169590,170550
Train_1,Light Travel,Station1,Station1,170550,170550
Train_1,Train Trip,Station1,Station0,171540,172530
Train_1,Light Travel,Station0,Station0,172530,172530
Train_1,Train Trip,Station0,Station1,194790,195750
Train_1,Light Travel,Station1,Station1,195750,195750
Train_1,Train Trip,Station1,Station0,196740,197730
Train_1,Light Travel,Station0,Station0,197730,197730
Train_1,Train Trip,Station0,Station1,198390,199350
Train_1,Light Travel,Station1,Station1,199350,199350
Train_1,Train Trip,Station1,Station0,200340,201330
Train_1,Light Travel,Station0,Station0,201330,201330
Train_1,Train Trip,Station0,Station1,201990,202950
Train_1,Light Travel,Station1,Station1,202950,202950
Train_1,Train Trip,Station1,Station0,203940,204930
Train_1,Light Travel,Station0,Station0,204930,204930
Train_1,Train Trip,Station0,Station1,205590,206550
Train_1,Light Travel,Station1,Station1,206550,206550
Train_1,Train Trip,Station1,Station0,207540,208530
Train_1,Light Travel,Station0,Station0,208530,208530
Train_1,Train Trip,Station0,Station1,209190,210150
Train_1,Light Travel,Station1,Station1,210150,210150
Train_1,Train Trip,Station1,Station0,211140,212130
Train_1,Light Travel,Station0,Station0,212130,212130
Train_1,Train Trip,Station0,Station1,212790,213750
Train_1,Light Travel,Station1,Station1,213750,213750
Train_1,Train Trip,Station1,Station0,214740,215730
Train_1,Light Travel,Station0,Station0,215730,215730
Train_1,Train Trip,Station0,Station1,216390,217350
Train_1,Light Travel,Station1,Station1,217350,217350
Train_1,Train Trip,Station1,Station0,218340,219330
Train_1,Light Travel,Station0,Station0,219330,219330
Train_1,Train Trip,Station0,Station1,219990,220950
Train_1,Light Travel,Station1,Station1,220950,220950
Train_1,Train Trip,Station1,Station0,221940,222930
Train_1,Light Travel,Station0,Station0,222930,222930
Train_1,Train Trip,Station0,Station1,223590,224550
Train_1,Light Travel,Station1,Station1,224550,224550
Train_1,Train Trip,Station1,Station0,225540,226530
Train_1,Light Travel,Station0,Station0,226530,226530
Train_1,Train Trip,Station0,Station1,227190,228150
Train_1,Light Travel,Station1,Station1,228150,228150
Train_1,Train Trip,Station1,Station0,229140,230130
Train_1,Light Travel,Station0,Station0,230130,230130
Train_1,Train Trip,Station0,Station1,230790,231750
Train_1,Light Travel,Station1,Station1,231750,231750
Train_1,Train Trip,Station1,Station0,232740,233730
Train_1,Light Travel,Station0,Station0,233730,233730
Train_1,Train Trip,Station0,Station1,234390,235350
Train_1,Light Travel,Station1,Station1,235350,235350
Train_1,Train Trip,Station1,Station0,236340,237330
Train_1,Light Travel,Station0,Station0,237330,237330
Train_1,Train Trip,Station0,Station1,237990,238950
Train_1,Light Travel,Station1,Station1,238950,238950
Train_1,Train Trip,Station1,Station0,239940,240930
Train_1,Light Travel,Station0,Station0,240930,240930
Train_1,Train Trip,Station0,Station1,241590,242550
Train_1,Light Travel,Station1,Station1,242550,242550
Train_1,Train Trip,Station1,Station0,243540,244530
Train_1,Light Travel,Station0,Station0,244530,244530
Train_1,Train Trip,Station0,Station1,245190,246150
Train_1,Light Travel,Station1,Station1,246150,246150
Train_1,Train Trip,Station1,Station0,247140,248130
Train_1,Light Travel,Station0,Station0,248130,248130
Train_1,Train Trip,Station0,Station1,248790,249750
Train_1,Light Travel,Station1,Station1,249750,249750
Train_1,Train Trip,Station1,Station0,250740,251730
Train_1,Light Travel,Station0,Station0,251730,251730
Train_1,Train Trip,Station0,Station1,252390,253350
Train_1,Light Travel,Station1,Station1,253350,253350
Train_1,Train Trip,Station1,Station0,254340,255330
Train_1,Light Travel,Station0,Station0,255330,255330
Train_1,Train Trip,Station0,Station1,255990,256950
Train_1,Light Travel,Station1,Station1,256950,256950
Train_1,Train Trip,Station1,Station0,257940,258930
Train_1,Light Travel,Station0,Station0,258930,258930
Train_1,Train Trip,Station0,Station1,281190,282150
Train_1,Light Travel,Station1,Station1,282150,282150
Train_1,Train Trip,Station1,Station0,283140,284130
Train_1,Light Travel,Station0,Station0,284130,284130
Train_1,Train Trip,Station0,Station1,284790,285750
Train_1,Light Travel,Station1,Station1,285750,285750
Train_1,Train Trip,Station1,Station0,286740,287730
Train_1,Light Travel,Station0,Station0,287730,287730
Train_1,Train Trip,Station0,Station1,288390,289350
Train_1,Light Travel,Station1,Station1,289350,289350
Train_1,Train Trip,Station1,Station0,290340,291330
Train_1,Light Travel,Station0,Station0,291330,291330
Train_1,Train Trip,Station0,Station1,291990,292950
Train_1,Light Travel,Station1,Station1,292950,292950
Train_1,Train Trip,Station1,Station0,293940,294930
Train_1,Light Travel,Station0,Station0,294930,294930
Train_1,Train Trip,Station0,Station1,295590,296550
Train_1,Light Travel,Station1,Station1,296550,296550
Train_1,Train Trip,Station1,Station0,297540,298530
Train_1,Light Travel,Station0,Station0,298530,298530
Train_1,Train Trip,Station0,Station1,299190,300150
Train_1,Light Travel,Station1,Station1,300150,300150
Train_1,Train Trip,Station1,Station0,301140,302130
Train_1,Light Travel,Station0,Station0,302130,302130
Train_1,Train Trip,Station0,Station1,302790,303750
Train_1,Light Travel,Station1,Station1,303750,303750
Train_1,Train Trip,Station1,Station0,304740,305730
Train_1,Light Travel,Station0,Station0,305730,305730
Train_1,Train Trip,Station0,Station1,306390,307350
Train_1,Light Travel,Station1,Station1,307350,307350
Train_1,Train Trip,Station1,Station0,308340,309330
Train_1,Light Travel,Station0,Station0,309330,309330
Train_1,Train Trip,Station0,Station1,309990,310950
Train_1,Light Travel,Station1,Station1,310950,310950
Train_1,Train Trip,Station1,Station0,311940,312930
Train_1,Light Travel,Station0,Station0,312930,312930
Train_1,Train Trip,Station0,Station1,313590,314550
Train_1,Light Travel,Station1,Station1,314550,314550
Train_1,Train Trip,Station1,Station0,315540,316530
Train_1,Light Travel,Station0,Station0,316530,316530
Train_1,Train Trip,Station0,Station1,317190,318150
Train_1,Light Travel,Station1,Station1,318150,318150
Train_1,Train Trip,Station1,Station0,319140,320130
Train_1,Light Travel,Station0,Station0,320130,320130
Train_1,Train Trip,Station0,Station1,320790,321750
Train_1,Light Travel,Station1,Station1,321750,321750
Train_1,Train Trip,Station1,Station0,322740,323730
Train_1,Light Travel,Station0,Station0,323730,323730
Train_1,Train Trip,Station0,Station1,324390,325350
Train_1,Light Travel,Station1,Station1,325350,325350
Train_1,Train Trip,Station1,Station0,326340,327330
Train_1,Light Travel,Station0,Station0,327330,327330
Train_1,Train Trip,Station0,Station1,327990,328950
Train_1,Light Travel,Station1,Station1,328950,328950
Train_1,Train Trip,Station1,Station0,329940,330930
Train_1,Light Travel,Station0,Station0,330930,330930
Train_1,Train Trip,Station0,Station1,331590,332550
Train_1,Light Travel,Station1,Station1,332550,332550
Train_1,Train Trip,Station1,Station0,333540,334530
Train_1,Light Travel,Station0,Station0,334530,334530
Train_1,Train Trip,Station0,Station1,335190,336150
Train_1,Light Travel,Station1,Station1,336150,336150
Train_1,Train Trip,Station1,Station0,337140,338130
Train_1,Light Travel,Station0,Station0,338130,338130
Train_1,Train Trip,Station0,Station1,338790,339750
Train_1,Light Travel,Station1,Station1,339750,339750
Train_1,Train Trip,Station1,Station0,340740,341730
Train_1,Light Travel,Station0,Station0,341730,341730
Train_1,Train Trip,Station0,Station1,342390,343350
