Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,522840
Train_1,Light Travel,Station1,Station1,522840,522840
Train_1,Train Trip,Station1,Station6,526800,527760
Train_1,Light Travel,Station6,Station6,527760,527760
Train_1,Train Trip,Station6,Station1,541380,542220
Train_1,Light Travel,Station1,Station1,542220,542220
Train_1,Train Trip,Station1,Station6,552720,553680
Train_1,Light Travel,Station6,Station6,553680,553680
Train_1,Train Trip,Station6,Station28,555720,556440
Train_1,Light Travel,Station28,Station6,556440,556740
Train_1,Train Trip,Station6,Station10,558360,558960
Train_1,Light Travel,Station10,Station28,558960,559560
Train_1,Train Trip,Station28,Station6,559560,560160
Train_1,Light Travel,Station6,Station10,560160,560460
Train_1,Train Trip,Station10,Station6,561900,562500
Train_1,Light Travel,Station6,Station6,562500,562500
Train_1,Train Trip,Station6,Station1,564000,564840
Train_1,Light Travel,Station1,Station1,564840,564840
Train_1,Train Trip,Station1,Station6,576900,577860
Train_1,Light Travel,Station6,Station6,577860,577860
Train_1,Train Trip,Station6,Station1,581100,581940
Train_1,Light Travel,Station1,Station1,581940,581940
Train_1,Train Trip,Station1,Station6,589500,590460
Train_10,Train Trip,Station21,Station22,30360,32580
Train_10,Light Travel,Station22,Station22,32580,32580
Train_10,Train Trip,Station22,Station21,36900,39180
Train_10,Light Travel,Station21,Station21,39180,39180
Train_10,Train Trip,Station21,Station34,40860,43380
Train_10,Light Travel,Station34,Station34,43380,43380
Train_10,Train Trip,Station34,Station21,50580,52980
Train_10,Light Travel,Station21,Station21,52980,52980
Train_10,Train Trip,Station21,Station22,53400,55620
Train_10,Light Travel,Station22,Station22,55620,55620
Train_10,Train Trip,Station22,Station21,61560,63840
Train_10,Light Travel,Station21,Station21,63840,63840
Train_10,Train Trip,Station21,Station22,116760,118980
Train_10,Light Travel,Station22,Station22,118980,118980
Train_10,Train Trip,Station22,Station21,123300,125580
Train_10,Light Travel,Station21,Station21,125580,125580
Train_10,Train Trip,Station21,Station40,135300,135780
Train_10,Light Travel,Station40,Station40,135780,135780
Train_10,Train Trip,Station40,Station21,138000,139140
Train_10,Light Travel,Station21,Station21,139140,139140
Train_10,Train Trip,Station21,Station22,139800,142020
Train_10,Light Travel,Station22,Station22,142020,142020
Train_10,Train Trip,Station22,Station21,147960,150240
Train_10,Light Travel,Station21,Station21,150240,150240
Train_10,Train Trip,Station21,Station22,203160,205380
Train_10,Light Travel,Station22,Station22,205380,205380
Train_10,Train Trip,Station22,Station21,209700,211980
Train_10,Light Travel,Station21,Station21,211980,211980
Train_10,Train Trip,Station21,Station34,213660,216180
Train_10,Light Travel,Station34,Station34,216180,216180
Train_10,Train Trip,Station34,Station21,223380,225780
Train_10,Light Travel,Station21,Station21,225780,225780
Train_10,Train Trip,Station21,Station22,226200,228420
Train_10,Light Travel,Station22,Station22,228420,228420
Train_10,Train Trip,Station22,Station21,234360,236640
Train_10,Light Travel,Station21,Station21,236640,236640
Train_10,Train Trip,Station21,Station33,239640,246300
Train_10,Light Travel,Station33,Station4,246300,247560
Train_10,Train Trip,Station4,Station5,259680,263460
Train_10,Light Travel,Station5,Station5,263460,263460
Train_10,Train Trip,Station5,Station4,267600,270060
Train_10,Light Travel,Station4,Station9,270060,270780
Train_10,Train Trip,Station9,Station6,272700,273840
Train_10,Light Travel,Station6,Station6,273840,273840
Train_10,Train Trip,Station6,Station8,353700,354120
Train_10,Light Travel,Station8,Station9,354120,354420
Train_10,Train Trip,Station9,Station6,359100,360240
Train_10,Light Travel,Station6,Station6,360240,360240
Train_10,Train Trip,Station6,Station10,455220,455820
Train_10,Light Travel,Station10,Station10,455820,455820
Train_10,Train Trip,Station10,Station10,460980,462900
Train_10,Light Travel,Station10,Station29,462900,463800
Train_10,Train Trip,Station29,Station39,468300,468840
Train_10,Light Travel,Station39,Station39,468840,468840
Train_10,Train Trip,Station39,Station29,474300,474780
Train_10,Light Travel,Station29,Station29,474780,474780
Train_10,Train Trip,Station29,Station35,480000,482220
Train_10,Light Travel,Station35,Station35,482220,482220
Train_10,Train Trip,Station35,Station29,483000,485460
Train_10,Light Travel,Station29,Station29,485460,485460
Train_10,Train Trip,Station29,Station38,555300,558000
Train_10,Light Travel,Station38,Station38,558000,558000
Train_10,Train Trip,Station38,Station29,559560,562320
Train_10,Light Travel,Station29,Station29,562320,562320
Train_10,Train Trip,Station29,Station39,567600,568140
Train_10,Light Travel,Station39,Station39,568140,568140
Train_10,Train Trip,Station39,Station29,571320,571860
Train_11,Train Trip,Station23,Station24,30720,32580
Train_11,Light Travel,Station24,Station24,32580,32580
Train_11,Train Trip,Station24,Station23,36780,41640
Train_11,Light Travel,Station23,Station23,41640,41640
Train_11,Train Trip,Station23,Station36,48960,50640
Train_11,Light Travel,Station36,Station36,50640,50640
Train_11,Train Trip,Station36,Station23,55380,60180
Train_11,Light Travel,Station23,Station23,60180,60180
