Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,780
Train_1,Light Travel,Station1,Station1,780,780
Train_1,Train Trip,Station1,Station4,1320,2940
Train_1,Light Travel,Station4,Station4,2940,2940
Train_1,Train Trip,Station4,Station11,16800,18960
Train_1,Light Travel,Station11,Station11,18960,18960
Train_1,Train Trip,Station11,Station13,19680,27900
Train_1,Light Travel,Station13,Station13,27900,27900
Train_1,Train Trip,Station13,Station1,28680,35580
Train_1,Light Travel,Station1,Station1,35580,35580
Train_1,Train Trip,Station1,Station20,39240,45600
Train_1,Light Travel,Station20,Station20,45600,45600
Train_1,Train Trip,Station20,Station10,49080,56940
Train_1,Light Travel,Station10,Station10,56940,56940
Train_1,Train Trip,Station10,Station13,57540,66480
Train_1,Light Travel,Station13,Station13,66480,66480
Train_1,Train Trip,Station13,Station11,67860,76200
Train_1,Light Travel,Station11,Station11,76200,76200
Train_1,Train Trip,Station11,Station22,77880,83160
Train_1,Light Travel,Station22,Station22,83160,83160
Train_1,Train Trip,Station22,Station1,83580,87780
Train_1,Light Travel,Station1,Station1,87780,87780
Train_1,Train Trip,Station1,Station4,88320,89940
Train_1,Light Travel,Station4,Station4,89940,89940
Train_1,Train Trip,Station4,Station16,106800,108900
Train_1,Light Travel,Station16,Station16,108900,108900
Train_1,Train Trip,Station16,Station10,109260,114540
Train_1,Light Travel,Station10,Station10,114540,114540
Train_1,Train Trip,Station10,Station13,115140,124080
Train_1,Light Travel,Station13,Station13,124080,124080
Train_1,Train Trip,Station13,Station11,125460,133800
Train_1,Light Travel,Station11,Station11,133800,133800
Train_1,Train Trip,Station11,Station20,135480,142800
Train_1,Light Travel,Station20,Station20,142800,142800
Train_1,Train Trip,Station20,Station10,146280,154140
Train_1,Light Travel,Station10,Station10,154140,154140
Train_1,Train Trip,Station10,Station13,154740,163680
Train_1,Light Travel,Station13,Station13,163680,163680
Train_1,Train Trip,Station13,Station4,165060,170760
Train_1,Light Travel,Station4,Station4,170760,170760
Train_1,Train Trip,Station4,Station11,190200,192360
Train_1,Light Travel,Station11,Station11,192360,192360
Train_1,Train Trip,Station11,Station13,193080,201300
Train_1,Light Travel,Station13,Station13,201900,201900
Train_1,Train Trip,Station13,Station1,202080,208980
Train_1,Light Travel,Station1,Station1,208980,208980
Train_1,Train Trip,Station1,Station20,212640,219000
Train_1,Light Travel,Station20,Station20,219000,219000
Train_1,Train Trip,Station20,Station10,222480,230340
Train_1,Light Travel,Station10,Station10,230340,230340
Train_1,Train Trip,Station10,Station13,230940,239880
Train_1,Light Travel,Station13,Station13,239880,239880
Train_1,Train Trip,Station13,Station1,255780,262980
Train_1,Light Travel,Station1,Station1,262980,262980
Train_1,Train Trip,Station1,Station23,271500,274980
Train_1,Light Travel,Station23,Station23,274980,274980
Train_1,Train Trip,Station23,Station24,275580,277740
Train_1,Light Travel,Station24,Station24,277740,277740
Train_1,Train Trip,Station24,Station21,278100,279120
Train_1,Light Travel,Station21,Station4,279120,279240
Train_1,Train Trip,Station4,Station22,279720,282360
Train_1,Light Travel,Station22,Station22,282360,282360
Train_1,Train Trip,Station22,Station4,284220,286740
Train_1,Light Travel,Station4,Station4,286740,286740
Train_1,Train Trip,Station4,Station22,361920,364560
Train_1,Light Travel,Station22,Station22,364560,364560
Train_1,Train Trip,Station22,Station4,365160,367740
Train_1,Light Travel,Station4,Station4,367740,367740
Train_1,Train Trip,Station4,Station17,371340,372840
Train_1,Light Travel,Station17,Station17,372840,372840
Train_1,Train Trip,Station17,Station10,373260,377940
Train_1,Light Travel,Station10,Station10,377940,377940
Train_1,Train Trip,Station10,Station13,378540,387480
Train_1,Light Travel,Station13,Station13,387480,387480
Train_1,Train Trip,Station13,Station11,396060,404400
Train_1,Light Travel,Station11,Station11,404400,404400
Train_1,Train Trip,Station11,Station22,406080,411360
Train_1,Light Travel,Station22,Station22,411360,411360
Train_1,Train Trip,Station22,Station10,411780,417540
Train_1,Light Travel,Station10,Station10,417540,417540
Train_1,Train Trip,Station10,Station13,418140,427080
Train_1,Light Travel,Station13,Station13,427080,427080
Train_1,Train Trip,Station13,Station14,449580,459060
Train_1,Light Travel,Station14,Station14,459060,459060
Train_1,Train Trip,Station14,Station1,461280,463560
Train_1,Light Travel,Station1,Station1,463560,463560
Train_1,Train Trip,Station1,Station20,471840,478200
Train_1,Light Travel,Station20,Station20,478200,478200
Train_1,Train Trip,Station20,Station10,481680,489540
Train_1,Light Travel,Station10,Station10,489540,489540
Train_1,Train Trip,Station10,Station13,490140,499080
Train_1,Light Travel,Station13,Station13,499080,499080
Train_1,Train Trip,Station13,Station11,500460,508800
Train_1,Light Travel,Station11,Station11,508800,508800
Train_1,Train Trip,Station11,Station22,510480,515760
Train_1,Light Travel,Station22,Station22,515760,515760
Train_1,Train Trip,Station22,Station1,516180,520380
Train_1,Light Travel,Station1,Station1,520380,520380
Train_1,Train Trip,Station1,Station4,520920,522540
Train_1,Light Travel,Station4,Station4,522540,522540
Train_1,Train Trip,Station4,Station12,535920,537720
Train_1,Light Travel,Station12,Station12,537720,537720
Train_1,Train Trip,Station12,Station17,541020,544320
Train_1,Light Travel,Station17,Station17,544920,544920
