Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,480,1020
Train_1,Light Travel,Station1,Station1,1020,1020
Train_1,Train Trip,Station1,Station0,20580,21300
Train_1,Light Travel,Station0,Station0,21300,21300
Train_1,Train Trip,Station0,Station2,22020,22980
Train_1,Light Travel,Station2,Station2,22980,22980
Train_1,Train Trip,Station2,Station0,23880,24840
Train_1,Light Travel,Station0,Station0,24840,24840
Train_1,Train Trip,Station0,Station2,25620,26580
Train_1,Light Travel,Station2,Station2,26580,26580
Train_1,Train Trip,Station2,Station0,27480,28440
Train_1,Light Travel,Station0,Station0,28440,28440
Train_1,Train Trip,Station0,Station2,29220,30180
Train_1,Light Travel,Station2,Station2,30180,30180
Train_1,Train Trip,Station2,Station0,31080,32040
Train_1,Light Travel,Station0,Station0,32040,32040
Train_1,Train Trip,Station0,Station2,32820,33780
Train_1,Light Travel,Station2,Station2,33780,33780
Train_1,Train Trip,Station2,Station0,34680,35640
Train_1,Light Travel,Station0,Station0,35640,35640
Train_1,Train Trip,Station0,Station2,36420,37380
Train_1,Light Travel,Station2,Station2,37380,37380
Train_1,Train Trip,Station2,Station0,38280,39240
Train_1,Light Travel,Station0,Station0,39240,39240
Train_1,Train Trip,Station0,Station2,40020,40980
Train_1,Light Travel,Station2,Station2,40980,40980
Train_1,Train Trip,Station2,Station0,41880,42840
Train_1,Light Travel,Station0,Station0,42840,42840
Train_1,Train Trip,Station0,Station2,43620,44580
Train_1,Light Travel,Station2,Station2,44580,44580
Train_1,Train Trip,Station2,Station0,45480,46440
Train_1,Light Travel,Station0,Station0,46440,46440
Train_1,Train Trip,Station0,Station2,47220,48180
Train_1,Light Travel,Station2,Station2,48180,48180
Train_1,Train Trip,Station2,Station0,49080,50040
Train_1,Light Travel,Station0,Station0,50040,50040
Train_1,Train Trip,Station0,Station2,50820,51780
Train_1,Light Travel,Station2,Station2,51780,51780
Train_1,Train Trip,Station2,Station0,52680,53640
Train_1,Light Travel,Station0,Station0,53640,53640
Train_1,Train Trip,Station0,Station2,54420,55380
Train_1,Light Travel,Station2,Station2,55380,55380
Train_1,Train Trip,Station2,Station0,56280,57240
Train_1,Light Travel,Station0,Station0,57240,57240
Train_1,Train Trip,Station0,Station2,58020,58980
Train_1,Light Travel,Station2,Station2,58980,58980
Train_1,Train Trip,Station2,Station0,59880,60840
Train_1,Light Travel,Station0,Station0,60840,60840
Train_1,Train Trip,Station0,Station2,61620,62580
Train_1,Light Travel,Station2,Station2,62580,62580
Train_1,Train Trip,Station2,Station0,63480,64440
Train_1,Light Travel,Station0,Station0,64440,64440
Train_1,Train Trip,Station0,Station2,65220,66180
Train_1,Light Travel,Station2,Station2,66180,66180
Train_1,Train Trip,Station2,Station0,67080,68040
Train_1,Light Travel,Station0,Station0,68040,68040
Train_1,Train Trip,Station0,Station2,68820,69780
Train_1,Light Travel,Station2,Station2,69780,69780
Train_1,Train Trip,Station2,Station0,70680,71640
Train_1,Light Travel,Station0,Station0,71640,71640
Train_1,Train Trip,Station0,Station2,72420,73380
Train_1,Light Travel,Station2,Station2,73380,73380
