Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,3330
Train_1,Light Travel,Station1,Station1,3330,3330
Train_1,Train Trip,Station1,Station9,13560,20160
Train_1,Light Travel,Station9,Station9,20160,20160
Train_1,Train Trip,Station9,Station21,20580,23040
Train_1,Light Travel,Station21,Station21,23040,23040
Train_1,Train Trip,Station21,Station3,26640,30300
Train_1,Light Travel,Station3,Station3,30300,30300
Train_1,Train Trip,Station3,Station21,30900,34560
Train_1,Light Travel,Station21,Station13,34560,35460
Train_1,Train Trip,Station13,Station12,41520,45960
Train_1,Light Travel,Station12,Station12,45960,45960
Train_1,Train Trip,Station12,Station13,47340,51930
Train_1,Light Travel,Station13,Station13,51930,51930
Train_1,Train Trip,Station13,Station12,66480,70890
Train_1,Light Travel,Station12,Station12,70890,70890
Train_1,Train Trip,Station12,Station13,104940,109530
Train_1,Light Travel,Station13,Station13,109530,109530
Train_1,Train Trip,Station13,Station12,127920,132360
Train_1,Light Travel,Station12,Station12,132360,132360
Train_1,Train Trip,Station12,Station13,133740,138330
Train_1,Light Travel,Station13,Station13,138330,138330
Train_1,Train Trip,Station13,Station20,142080,150690
Train_1,Light Travel,Station20,Station20,150690,150690
Train_1,Train Trip,Station20,Station13,193590,201300
Train_1,Light Travel,Station13,Station13,201300,201300
Train_1,Train Trip,Station13,Station12,207120,211560
Train_1,Light Travel,Station12,Station12,211560,211560
Train_1,Train Trip,Station12,Station13,212940,217530
Train_1,Light Travel,Station13,Station13,217530,217530
Train_1,Train Trip,Station13,Station12,221280,225960
Train_1,Light Travel,Station12,Station12,225960,225960
Train_1,Train Trip,Station12,Station13,227340,231930
Train_1,Light Travel,Station13,Station13,231930,231930
Train_1,Train Trip,Station13,Station12,237450,242010
Train_1,Light Travel,Station12,Station12,242010,242010
Train_1,Train Trip,Station12,Station13,277740,282330
Train_1,Light Travel,Station13,Station13,282330,282330
Train_1,Train Trip,Station13,Station12,307680,312360
Train_1,Light Travel,Station12,Station12,312360,312360
Train_1,Train Trip,Station12,Station13,320130,325530
Train_1,Light Travel,Station13,Station13,325530,325530
Train_1,Train Trip,Station13,Station12,326280,330690
Train_1,Light Travel,Station12,Station12,330690,330690
Train_1,Train Trip,Station12,Station13,366540,371142
Train_1,Light Travel,Station13,Station13,371142,371142
Train_1,Train Trip,Station13,Station20,401880,410490
Train_10,Train Trip,Station16,Station17,15600,21840
Train_10,Light Travel,Station17,Station17,21840,21840
Train_10,Train Trip,Station17,Station39,22740,23760
Train_10,Light Travel,Station39,Station39,23760,23760
Train_10,Train Trip,Station39,Station17,24210,25260
Train_10,Light Travel,Station17,Station17,25260,25260
Train_10,Train Trip,Station17,Station16,61620,67800
Train_10,Light Travel,Station16,Station16,67800,67800
Train_10,Train Trip,Station16,Station17,70200,76470
Train_10,Light Travel,Station17,Station17,76470,76470
Train_10,Train Trip,Station17,Station26,104820,112200
Train_10,Light Travel,Station26,Station26,112200,112200
Train_10,Train Trip,Station26,Station17,112560,119670
Train_10,Light Travel,Station17,Station17,119670,119670
Train_10,Train Trip,Station17,Station5,130020,141180
Train_10,Light Travel,Station5,Station5,141180,141180
Train_10,Train Trip,Station5,Station17,155160,166470
Train_10,Light Travel,Station17,Station17,166470,166470
Train_10,Train Trip,Station17,Station26,191220,198600
Train_10,Light Travel,Station26,Station26,198600,198600
Train_10,Train Trip,Station26,Station17,198960,206070
Train_10,Light Travel,Station17,Station17,206070,206070
Train_10,Train Trip,Station17,Station53,251160,254586
Train_10,Light Travel,Station53,Station53,254586,254586
Train_10,Train Trip,Station53,Station23,280260,280440
Train_10,Light Travel,Station23,Station23,280440,280440
Train_10,Train Trip,Station23,Station17,280860,284694
Train_10,Light Travel,Station17,Station17,284694,284694
Train_10,Train Trip,Station17,Station38,306000,311520
Train_10,Light Travel,Station38,Station38,311520,311520
Train_10,Train Trip,Station38,Station17,368040,374040
Train_10,Light Travel,Station17,Station17,374040,374040
Train_10,Train Trip,Station17,Station38,408240,413640
Train_10,Light Travel,Station38,Station38,413640,413640
Train_10,Train Trip,Station38,Station17,454440,460440
Train_10,Light Travel,Station17,Station17,460440,460440
Train_10,Train Trip,Station17,Station5,461220,472380
Train_10,Light Travel,Station5,Station5,472380,472380
Train_10,Train Trip,Station5,Station7,510900,520320
Train_10,Light Travel,Station7,Station7,520320,520320
Train_10,Train Trip,Station7,Station18,539790,545370
Train_10,Light Travel,Station18,Station18,545370,545370
Train_10,Train Trip,Station18,Station15,580680,584400
Train_11,Train Trip,Station18,Station19,16200,30810
Train_11,Light Travel,Station19,Station19,30810,30810
Train_11,Train Trip,Station19,Station40,58320,62220
Train_11,Light Travel,Station40,Station40,62220,62220
Train_11,Train Trip,Station40,Station19,108990,113100
Train_11,Light Travel,Station19,Station19,113100,113100
Train_11,Train Trip,Station19,Station43,118200,120960
Train_11,Light Travel,Station43,Station43,120960,120960
Train_11,Train Trip,Station43,Station27,121920,126270
Train_11,Light Travel,Station27,Station27,126270,126270
Train_11,Train Trip,Station27,Station18,126930,133260
Train_11,Light Travel,Station18,Station18,133260,133260
Train_11,Train Trip,Station18,Station27,150780,157860
Train_11,Light Travel,Station27,Station27,157860,157860
Train_11,Train Trip,Station27,Station18,191280,197700
Train_11,Light Travel,Station18,Station18,197700,197700
Train_11,Train Trip,Station18,Station43,199080,209880
Train_11,Light Travel,Station43,Station43,209880,209880
Train_11,Train Trip,Station43,Station18,216120,226860
Train_11,Light Travel,Station18,Station18,226860,226860
Train_11,Train Trip,Station18,Station5,231960,246240
Train_11,Light Travel,Station5,Station5,246240,246240
Train_11,Train Trip,Station5,Station46,251280,253380
Train_11,Light Travel,Station46,Station46,253380,253380
Train_11,Train Trip,Station46,Station5,287760,289920
Train_11,Light Travel,Station5,Station5,289920,289920
Train_11,Train Trip,Station5,Station15,330900,343080
Train_11,Light Travel,Station15,Station15,343080,343080
Train_11,Train Trip,Station15,Station5,363360,376050
Train_11,Light Travel,Station5,Station5,376050,376050
Train_11,Train Trip,Station5,Station17,414360,425670
Train_11,Light Travel,Station17,Station17,425670,425670
Train_11,Train Trip,Station17,Station33,457200,458220
Train_11,Light Travel,Station33,Station33,458820,458820
Train_11,Train Trip,Station33,Station44,458940,462390
Train_11,Light Travel,Station44,Station44,462390,462390
Train_11,Train Trip,Station44,Station38,548790,549720
Train_11,Light Travel,Station38,Station38,549720,549720
Train_11,Train Trip,Station38,Station17,558480,563400
Train_11,Light Travel,Station17,Station17,563400,563400
Train_11,Train Trip,Station17,Station16,580620,586800
Train_11,Light Travel,Station16,Station16,586800,586800
Train_11,Train Trip,Station16,Station17,589200,595470
Train_12,Train Trip,Station20,Station13,16230,23370
Train_12,Light Travel,Station13,Station13,23370,23370
Train_12,Train Trip,Station13,Station20,61110,69060
Train_12,Light Travel,Station20,Station20,69060,69060
Train_12,Train Trip,Station20,Station13,103890,111480
Train_12,Light Travel,Station13,Station13,111480,111480
Train_12,Train Trip,Station13,Station20,154770,162750
Train_12,Light Travel,Station20,Station20,162750,162750
Train_12,Train Trip,Station20,Station13,190290,197880
Train_12,Light Travel,Station13,Station13,197880,197880
Train_12,Train Trip,Station13,Station20,228480,237090
Train_12,Light Travel,Station20,Station20,237090,237090
Train_12,Train Trip,Station20,Station13,279990,287700
Train_12,Light Travel,Station13,Station13,287700,287700
Train_12,Train Trip,Station13,Station12,293520,297960
Train_12,Light Travel,Station12,Station12,297960,297960
Train_12,Train Trip,Station12,Station13,299340,303930
Train_12,Light Travel,Station13,Station13,303930,303930
Train_12,Train Trip,Station13,Station20,320310,328260
Train_12,Light Travel,Station20,Station20,328260,328260
Train_12,Train Trip,Station20,Station13,363090,370680
Train_12,Light Travel,Station13,Station13,370680,370680
Train_12,Train Trip,Station13,Station12,372720,377160
Train_12,Light Travel,Station12,Station12,377160,377160
Train_12,Train Trip,Station12,Station13,378540,383130
Train_12,Light Travel,Station13,Station13,383130,383130
Train_12,Train Trip,Station13,Station20,406710,414660
Train_13,Train Trip,Station3,Station21,16500,20160
Train_13,Light Travel,Station21,Station21,20160,20160
Train_13,Train Trip,Station21,Station3,21240,24900
Train_13,Light Travel,Station3,Station3,24900,24900
Train_13,Train Trip,Station3,Station21,25500,29160
Train_13,Light Travel,Station21,Station21,29160,29160
Train_13,Train Trip,Station21,Station3,42840,46500
Train_13,Light Travel,Station3,Station3,46500,46500
Train_13,Train Trip,Station3,Station21,47100,50760
Train_13,Light Travel,Station21,Station21,50760,50760
Train_13,Train Trip,Station21,Station3,51840,55500
Train_13,Light Travel,Station3,Station3,55500,55500
Train_13,Train Trip,Station3,Station21,56100,59760
Train_13,Light Travel,Station21,Station21,59760,59760
Train_13,Train Trip,Station21,Station3,60840,64500
Train_13,Light Travel,Station3,Station3,64500,64500
Train_13,Train Trip,Station3,Station21,65100,68760
Train_13,Light Travel,Station21,Station21,68760,68760
Train_13,Train Trip,Station21,Station3,69840,73500
Train_13,Light Travel,Station3,Station3,73500,73500
Train_13,Train Trip,Station3,Station21,74100,77760
Train_13,Light Travel,Station21,Station21,77760,77760
Train_13,Train Trip,Station21,Station3,78840,82500
Train_13,Light Travel,Station3,Station3,82500,82500
Train_13,Train Trip,Station3,Station21,83100,86760
Train_13,Light Travel,Station21,Station21,86760,86760
Train_13,Train Trip,Station21,Station3,105840,109500
Train_13,Light Travel,Station3,Station3,109500,109500
Train_13,Train Trip,Station3,Station21,110100,113760
Train_13,Light Travel,Station21,Station21,113760,113760
Train_13,Train Trip,Station21,Station3,143640,147300
Train_13,Light Travel,Station3,Station3,147300,147300
Train_13,Train Trip,Station3,Station21,147900,151560
Train_13,Light Travel,Station21,Station21,151560,151560
Train_13,Train Trip,Station21,Station3,152640,156300
Train_13,Light Travel,Station3,Station3,156300,156300
Train_13,Train Trip,Station3,Station21,156900,160560
Train_13,Light Travel,Station21,Station21,160560,160560
Train_13,Train Trip,Station21,Station3,161640,165300
Train_13,Light Travel,Station3,Station3,165300,165300
Train_13,Train Trip,Station3,Station21,165900,169560
Train_13,Light Travel,Station21,Station21,169560,169560
Train_13,Train Trip,Station21,Station3,172440,176100
Train_13,Light Travel,Station3,Station3,176100,176100
Train_13,Train Trip,Station3,Station21,189300,192960
Train_13,Light Travel,Station21,Station21,192960,192960
Train_13,Train Trip,Station21,Station3,194040,197700
Train_13,Light Travel,Station3,Station3,197700,197700
Train_13,Train Trip,Station3,Station21,198300,201960
Train_13,Light Travel,Station21,Station48,201960,202500
Train_13,Train Trip,Station48,Station21,215460,216600
Train_13,Light Travel,Station21,Station21,216600,216600
Train_13,Train Trip,Station21,Station3,228240,231900
Train_13,Light Travel,Station3,Station3,231900,231900
Train_13,Train Trip,Station3,Station21,232500,236160
Train_13,Light Travel,Station21,Station21,236160,236160
Train_13,Train Trip,Station21,Station3,237240,240900
Train_13,Light Travel,Station3,Station3,240900,240900
Train_13,Train Trip,Station3,Station21,241500,245160
