Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,360
Train_1,Light Travel,Station1,Station1,360,360
Train_1,Train Trip,Station1,Station19,19080,22680
Train_1,Light Travel,Station19,Station19,22680,22680
Train_1,Train Trip,Station19,Station1,24240,27480
Train_1,Light Travel,Station1,Station1,27480,27480
Train_1,Train Trip,Station1,Station19,33480,37080
Train_1,Light Travel,Station19,Station19,37080,37080
Train_1,Train Trip,Station19,Station15,38640,46020
Train_1,Light Travel,Station15,Station15,46020,46020
Train_1,Train Trip,Station15,Station1,47520,50940
Train_1,Light Travel,Station1,Station1,50940,50940
Train_1,Train Trip,Station1,Station15,53400,56820
Train_1,Light Travel,Station15,Station15,56820,56820
Train_1,Train Trip,Station15,Station17,58320,63240
Train_1,Light Travel,Station17,Station17,63240,63240
Train_1,Train Trip,Station17,Station18,105240,108900
Train_1,Light Travel,Station18,Station18,108900,108900
Train_1,Train Trip,Station18,Station1,109740,114780
Train_1,Light Travel,Station1,Station1,114780,114780
Train_1,Train Trip,Station1,Station15,139800,143220
Train_1,Light Travel,Station15,Station15,143220,143220
Train_1,Train Trip,Station15,Station1,144060,147960
Train_1,Light Travel,Station1,Station1,147960,147960
Train_1,Train Trip,Station1,Station22,149040,151080
Train_1,Light Travel,Station22,Station22,151080,151080
Train_1,Train Trip,Station22,Station1,151980,153900
Train_1,Light Travel,Station1,Station1,153900,153900
Train_1,Train Trip,Station1,Station15,154800,158220
Train_1,Light Travel,Station15,Station15,158220,158220
Train_1,Train Trip,Station15,Station16,191460,195060
Train_1,Light Travel,Station16,Station16,195060,195060
Train_1,Train Trip,Station16,Station28,195720,200880
Train_1,Light Travel,Station28,Station28,200880,200880
Train_1,Train Trip,Station28,Station1,201660,203580
Train_1,Light Travel,Station1,Station1,203580,203580
Train_1,Train Trip,Station1,Station17,204600,206220
Train_1,Light Travel,Station17,Station17,206220,206220
Train_1,Train Trip,Station17,Station18,208020,211620
Train_1,Light Travel,Station18,Station18,211620,211620
Train_1,Train Trip,Station18,Station15,283140,290880
Train_1,Light Travel,Station15,Station15,290880,290880
Train_1,Train Trip,Station15,Station1,310260,314160
Train_1,Light Travel,Station1,Station1,314160,314160
