Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,120
Train_1,Light Travel,Station1,Station1,120,120
Train_1,Train Trip,Station1,Station17,16020,19320
Train_1,Light Travel,Station17,Station17,19320,19320
Train_1,Train Trip,Station17,Station21,20160,24840
Train_1,Light Travel,Station21,Station21,24840,24840
Train_1,Train Trip,Station21,Station17,25560,30120
Train_1,Light Travel,Station17,Station17,30120,30120
Train_1,Train Trip,Station17,Station21,30960,35640
Train_1,Light Travel,Station21,Station21,35640,35640
Train_1,Train Trip,Station21,Station17,36360,40920
Train_1,Light Travel,Station17,Station17,40920,40920
Train_1,Train Trip,Station17,Station21,41760,46440
Train_1,Light Travel,Station21,Station21,46440,46440
Train_1,Train Trip,Station21,Station17,47160,51720
Train_1,Light Travel,Station17,Station17,51720,51720
Train_1,Train Trip,Station17,Station21,52560,57240
Train_1,Light Travel,Station21,Station21,57240,57240
Train_1,Train Trip,Station21,Station17,57960,62520
Train_1,Light Travel,Station17,Station28,62520,62640
Train_1,Train Trip,Station28,Station9,63360,67260
Train_1,Light Travel,Station9,Station9,67260,67260
Train_1,Train Trip,Station9,Station3,67740,71460
Train_1,Light Travel,Station3,Station3,71460,71460
Train_1,Train Trip,Station3,Station11,72480,79920
Train_1,Light Travel,Station11,Station11,79920,79920
Train_1,Train Trip,Station11,Station3,106200,114660
Train_1,Light Travel,Station3,Station3,114660,114660
Train_1,Train Trip,Station3,Station24,115680,123900
Train_1,Light Travel,Station24,Station24,123900,123900
Train_1,Train Trip,Station24,Station17,126360,132240
Train_1,Light Travel,Station17,Station17,132240,132240
Train_1,Train Trip,Station17,Station24,139440,145500
Train_1,Light Travel,Station24,Station24,145500,145500
Train_1,Train Trip,Station24,Station3,147960,156240
Train_1,Light Travel,Station3,Station3,156240,156240
Train_1,Train Trip,Station3,Station9,156900,160740
Train_1,Light Travel,Station9,Station9,160740,160740
Train_1,Train Trip,Station9,Station17,161340,162840
Train_1,Light Travel,Station17,Station17,162840,162840
Train_1,Train Trip,Station17,Station21,164160,168840
Train_1,Light Travel,Station21,Station21,168840,168840
Train_1,Train Trip,Station21,Station17,191160,195720
Train_1,Light Travel,Station17,Station17,195720,195720
Train_1,Train Trip,Station17,Station21,196560,201240
Train_1,Light Travel,Station21,Station21,201240,201240
Train_1,Train Trip,Station21,Station17,201960,206520
Train_1,Light Travel,Station17,Station17,206520,206520
Train_1,Train Trip,Station17,Station24,225840,231900
Train_1,Light Travel,Station24,Station24,231900,231900
Train_1,Train Trip,Station24,Station3,234360,242640
Train_1,Light Travel,Station3,Station3,242640,242640
Train_1,Train Trip,Station3,Station9,243480,247740
Train_1,Light Travel,Station9,Station9,247740,247740
Train_1,Train Trip,Station9,Station3,248940,253260
Train_1,Light Travel,Station3,Station3,253260,253260
Train_1,Train Trip,Station3,Station9,254280,258540
Train_1,Light Travel,Station9,Station9,258540,258540
Train_1,Train Trip,Station9,Station17,275220,276720
Train_1,Light Travel,Station17,Station17,276720,276720
Train_1,Train Trip,Station17,Station18,277440,283140
Train_1,Light Travel,Station18,Station18,283140,283140
Train_1,Train Trip,Station18,Station3,286620,295080
Train_1,Light Travel,Station3,Station3,295080,295080
Train_1,Train Trip,Station3,Station1,296460,301920
Train_1,Light Travel,Station1,Station1,301920,301920
Train_1,Train Trip,Station1,Station3,303900,309480
Train_1,Light Travel,Station3,Station3,309480,309480
Train_1,Train Trip,Station3,Station1,310860,316320
Train_1,Light Travel,Station1,Station1,316320,316320
Train_1,Train Trip,Station1,Station30,317220,321300
Train_1,Light Travel,Station30,Station30,321300,321300
Train_1,Train Trip,Station30,Station21,322440,327840
Train_1,Light Travel,Station21,Station21,327840,327840
