Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,3300
Train_1,Light Travel,Station1,Station1,3300,3300
Train_1,Train Trip,Station1,Station19,13518,20160
Train_1,Light Travel,Station19,Station30,20160,22020
Train_1,Train Trip,Station30,Station19,23670,26490
Train_1,Light Travel,Station19,Station19,26490,26490
Train_1,Train Trip,Station19,Station57,41040,42960
Train_1,Light Travel,Station57,Station57,42960,42960
Train_1,Train Trip,Station57,Station19,43410,45540
Train_1,Light Travel,Station19,Station19,45540,45540
Train_1,Train Trip,Station19,Station30,67920,71130
Train_1,Light Travel,Station30,Station30,71130,71130
Train_1,Train Trip,Station30,Station19,102870,105870
Train_1,Light Travel,Station19,Station30,105870,107730
Train_1,Train Trip,Station30,Station19,110070,112890
Train_1,Light Travel,Station19,Station19,112890,112890
Train_1,Train Trip,Station19,Station7,169080,178476
Train_1,Light Travel,Station7,Station7,178476,178476
Train_1,Train Trip,Station7,Station19,188040,198150
Train_1,Light Travel,Station19,Station19,198150,198150
Train_1,Train Trip,Station19,Station32,231510,234840
Train_1,Light Travel,Station32,Station32,234840,234840
Train_1,Train Trip,Station32,Station45,236670,238170
Train_1,Light Travel,Station45,Station7,238170,244950
Train_1,Train Trip,Station7,Station15,251100,260670
Train_1,Light Travel,Station15,Station15,260670,260670
Train_1,Train Trip,Station15,Station26,279930,285540
Train_1,Light Travel,Station26,Station26,285540,285540
Train_1,Train Trip,Station26,Station25,365820,374880
Train_1,Light Travel,Station25,Station25,374880,374880
Train_1,Train Trip,Station25,Station24,403020,408840
Train_1,Light Travel,Station24,Station7,408840,412320
Train_1,Train Trip,Station7,Station19,422700,432120
Train_1,Light Travel,Station19,Station59,432120,432240
Train_1,Train Trip,Station59,Station68,508470,509940
Train_1,Light Travel,Station68,Station68,509940,509940
Train_1,Train Trip,Station68,Station57,518970,523260
Train_1,Light Travel,Station57,Station20,523260,526140
Train_1,Train Trip,Station20,Station11,554700,558870
Train_1,Light Travel,Station11,Station11,558870,558870
Train_1,Train Trip,Station11,Station20,561060,565080
Train_1,Light Travel,Station20,Station20,565080,565080
Train_1,Train Trip,Station20,Station11,565500,569670
Train_1,Light Travel,Station11,Station11,569670,569670
Train_1,Train Trip,Station11,Station20,589860,593880
Train_1,Light Travel,Station20,Station20,593880,593880
Train_1,Train Trip,Station20,Station11,594300,598470
Train_10,Train Trip,Station16,Station17,0,828
Train_10,Light Travel,Station17,Station17,828,828
Train_10,Train Trip,Station17,Station26,16920,28080
Train_10,Light Travel,Station26,Station26,28080,28080
Train_10,Train Trip,Station26,Station51,32880,43680
Train_10,Light Travel,Station51,Station51,43680,43680
Train_10,Train Trip,Station51,Station26,49920,60660
Train_10,Light Travel,Station26,Station26,60660,60660
Train_10,Train Trip,Station26,Station51,61680,72540
Train_10,Light Travel,Station51,Station51,72540,72540
Train_10,Train Trip,Station51,Station5,75120,82080
Train_10,Light Travel,Station5,Station5,82080,82080
Train_10,Train Trip,Station5,Station26,108720,112500
Train_10,Light Travel,Station26,Station26,112500,112500
Train_10,Train Trip,Station26,Station5,137760,141450
Train_10,Light Travel,Station5,Station5,141450,141450
Train_10,Train Trip,Station5,Station26,145200,149100
Train_10,Light Travel,Station26,Station26,149100,149100
Train_10,Train Trip,Station26,Station5,191220,195900
Train_10,Light Travel,Station5,Station5,195900,195900
Train_10,Train Trip,Station5,Station26,198720,202500
Train_10,Light Travel,Station26,Station26,202500,202500
Train_10,Train Trip,Station26,Station51,205680,216480
Train_10,Light Travel,Station51,Station51,216480,216480
Train_10,Train Trip,Station51,Station26,222720,233460
Train_10,Light Travel,Station26,Station26,233460,233460
Train_10,Train Trip,Station26,Station51,234480,245340
Train_10,Light Travel,Station51,Station51,245340,245340
Train_10,Train Trip,Station51,Station5,247920,254880
Train_10,Light Travel,Station5,Station5,254880,254880
Train_10,Train Trip,Station5,Station21,268320,285660
Train_10,Light Travel,Station21,Station21,285660,285660
Train_10,Train Trip,Station21,Station55,286740,287670
Train_10,Light Travel,Station55,Station55,287670,287670
Train_10,Train Trip,Station55,Station21,338700,339600
Train_10,Light Travel,Station21,Station21,339600,339600
Train_10,Train Trip,Station21,Station5,341100,357420
Train_10,Light Travel,Station5,Station5,357420,357420
Train_10,Train Trip,Station5,Station26,362520,366300
Train_10,Light Travel,Station26,Station25,366300,369600
Train_10,Train Trip,Station25,Station40,370200,371220
Train_10,Light Travel,Station40,Station40,371220,371220
Train_10,Train Trip,Station40,Station52,371940,375390
Train_10,Light Travel,Station52,Station43,375390,375810
Train_10,Train Trip,Station43,Station25,377400,382800
Train_10,Light Travel,Station25,Station25,382800,382800
Train_10,Train Trip,Station25,Station34,385620,392460
Train_10,Light Travel,Station34,Station34,392460,392460
Train_10,Train Trip,Station34,Station25,393360,400470
Train_10,Light Travel,Station25,Station25,400470,400470
Train_10,Train Trip,Station25,Station43,403200,408120
Train_10,Light Travel,Station43,Station43,408120,408120
Train_10,Train Trip,Station43,Station40,413400,417660
Train_10,Light Travel,Station40,Station40,417660,417660
Train_10,Train Trip,Station40,Station41,452280,459480
Train_10,Light Travel,Station41,Station41,459480,459480
Train_10,Train Trip,Station41,Station25,462630,472200
Train_10,Light Travel,Station25,Station25,472200,472200
Train_10,Train Trip,Station25,Station53,545280,555900
Train_11,Train Trip,Station18,Station19,0,120
Train_11,Light Travel,Station19,Station29,120,780
Train_11,Train Trip,Station29,Station9,17520,21180
Train_11,Light Travel,Station9,Station9,21180,21180
Train_11,Train Trip,Station9,Station29,22020,25680
Train_11,Light Travel,Station29,Station29,25680,25680
Train_11,Train Trip,Station29,Station9,48120,51780
Train_11,Light Travel,Station9,Station9,51780,51780
Train_11,Train Trip,Station9,Station29,52620,56280
Train_11,Light Travel,Station29,Station29,56280,56280
Train_11,Train Trip,Station29,Station9,57120,60780
Train_11,Light Travel,Station9,Station9,60780,60780
Train_11,Train Trip,Station9,Station29,61620,65280
Train_11,Light Travel,Station29,Station29,65280,65280
Train_11,Train Trip,Station29,Station9,66120,69780
Train_11,Light Travel,Station9,Station9,69780,69780
Train_11,Train Trip,Station9,Station29,70620,74280
Train_11,Light Travel,Station29,Station29,74280,74280
Train_11,Train Trip,Station29,Station9,75120,78780
Train_11,Light Travel,Station9,Station9,78780,78780
Train_11,Train Trip,Station9,Station29,79620,83280
Train_11,Light Travel,Station29,Station29,83280,83280
Train_11,Train Trip,Station29,Station9,85920,89580
