Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,1080
Train_1,Light Travel,Station1,Station1,1080,1080
Train_1,Train Trip,Station1,Station14,2100,3480
Train_1,Light Travel,Station14,Station14,3480,3480
Train_1,Train Trip,Station14,Station1,16020,17820
Train_1,Light Travel,Station1,Station1,17820,17820
Train_1,Train Trip,Station1,Station3,18600,21120
Train_1,Light Travel,Station3,Station3,21120,21120
Train_1,Train Trip,Station3,Station1,22080,24480
Train_1,Light Travel,Station1,Station1,24480,24480
Train_1,Train Trip,Station1,Station3,25800,28320
Train_1,Light Travel,Station3,Station3,28320,28320
Train_1,Train Trip,Station3,Station1,29280,31680
Train_1,Light Travel,Station1,Station1,31680,31680
Train_1,Train Trip,Station1,Station3,33000,35520
Train_1,Light Travel,Station3,Station3,35520,35520
Train_1,Train Trip,Station3,Station1,36480,38880
Train_1,Light Travel,Station1,Station1,38880,38880
Train_1,Train Trip,Station1,Station3,40200,42720
Train_1,Light Travel,Station3,Station3,42720,42720
Train_1,Train Trip,Station3,Station1,43680,46080
Train_1,Light Travel,Station1,Station1,46080,46080
Train_1,Train Trip,Station1,Station3,47400,49920
Train_1,Light Travel,Station3,Station3,49920,49920
Train_1,Train Trip,Station3,Station1,50880,53280
Train_1,Light Travel,Station1,Station1,53280,53280
Train_1,Train Trip,Station1,Station3,54600,57120
Train_1,Light Travel,Station3,Station3,57120,57120
Train_1,Train Trip,Station3,Station1,58080,60480
Train_1,Light Travel,Station1,Station1,60480,60480
Train_1,Train Trip,Station1,Station3,61800,64320
Train_1,Light Travel,Station3,Station3,64320,64320
Train_1,Train Trip,Station3,Station1,65280,67680
Train_1,Light Travel,Station1,Station1,67680,67680
Train_1,Train Trip,Station1,Station3,69000,71520
Train_1,Light Travel,Station3,Station3,71520,71520
Train_1,Train Trip,Station3,Station1,72480,74880
Train_1,Light Travel,Station1,Station1,74880,74880
Train_1,Train Trip,Station1,Station3,76200,78720
Train_1,Light Travel,Station3,Station3,78720,78720
Train_1,Train Trip,Station3,Station1,79680,82080
Train_1,Light Travel,Station1,Station1,82080,82080
Train_1,Train Trip,Station1,Station3,83400,85920
Train_1,Light Travel,Station3,Station3,85920,85920
Train_1,Train Trip,Station3,Station1,86880,89280
Train_1,Light Travel,Station1,Station1,89280,89280
Train_1,Train Trip,Station1,Station14,89760,91260
Train_1,Light Travel,Station14,Station14,91260,91260
Train_1,Train Trip,Station14,Station1,102420,104220
Train_1,Light Travel,Station1,Station1,104220,104220
Train_1,Train Trip,Station1,Station3,105000,107520
Train_1,Light Travel,Station3,Station3,107520,107520
Train_1,Train Trip,Station3,Station1,108480,110880
Train_1,Light Travel,Station1,Station1,110880,110880
Train_1,Train Trip,Station1,Station3,112200,114720
Train_1,Light Travel,Station3,Station3,114720,114720
Train_1,Train Trip,Station3,Station1,115680,118080
Train_1,Light Travel,Station1,Station1,118080,118080
Train_1,Train Trip,Station1,Station3,119400,121920
Train_1,Light Travel,Station3,Station3,121920,121920
Train_1,Train Trip,Station3,Station1,122880,125280
Train_1,Light Travel,Station1,Station1,125280,125280
Train_1,Train Trip,Station1,Station3,126600,129120
Train_1,Light Travel,Station3,Station3,129120,129120
Train_1,Train Trip,Station3,Station1,130080,132480
Train_1,Light Travel,Station1,Station1,132480,132480
Train_1,Train Trip,Station1,Station3,133800,136320
Train_1,Light Travel,Station3,Station3,136320,136320
Train_1,Train Trip,Station3,Station1,137280,139680
Train_1,Light Travel,Station1,Station1,139680,139680
Train_1,Train Trip,Station1,Station3,141000,143520
Train_1,Light Travel,Station3,Station3,143520,143520
Train_1,Train Trip,Station3,Station1,144480,146880
Train_1,Light Travel,Station1,Station1,146880,146880
Train_1,Train Trip,Station1,Station3,148200,150720
Train_1,Light Travel,Station3,Station3,150720,150720
Train_1,Train Trip,Station3,Station1,151680,154080
Train_1,Light Travel,Station1,Station1,154080,154080
Train_1,Train Trip,Station1,Station3,155400,157920
Train_1,Light Travel,Station3,Station3,157920,157920
Train_1,Train Trip,Station3,Station1,158880,161280
Train_1,Light Travel,Station1,Station1,161280,161280
Train_1,Train Trip,Station1,Station3,162600,165120
Train_1,Light Travel,Station3,Station3,165120,165120
Train_1,Train Trip,Station3,Station1,166080,168480
Train_1,Light Travel,Station1,Station1,168480,168480
Train_1,Train Trip,Station1,Station3,169800,172320
Train_1,Light Travel,Station3,Station3,172320,172320
Train_1,Train Trip,Station3,Station1,173280,175680
Train_1,Light Travel,Station1,Station1,175680,175680
