Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,120
Train_1,Light Travel,Station1,Station1,120,120
Train_1,Train Trip,Station1,Station105,17820,21120
Train_1,Light Travel,Station105,Station105,21120,21120
Train_1,Train Trip,Station105,Station1,21960,25320
Train_1,Light Travel,Station1,Station1,25320,25320
Train_1,Train Trip,Station1,Station105,28620,31920
Train_1,Light Travel,Station105,Station105,31920,31920
Train_1,Train Trip,Station105,Station1,32760,36120
Train_1,Light Travel,Station1,Station1,36120,36120
Train_1,Train Trip,Station1,Station105,39420,42720
Train_1,Light Travel,Station105,Station105,42720,42720
Train_1,Train Trip,Station105,Station1,43560,46920
Train_1,Light Travel,Station1,Station1,46920,46920
Train_1,Train Trip,Station1,Station105,50220,53520
Train_1,Light Travel,Station105,Station105,53520,53520
Train_1,Train Trip,Station105,Station1,54360,57720
Train_1,Light Travel,Station1,Station1,57720,57720
Train_1,Train Trip,Station1,Station105,61020,64320
Train_1,Light Travel,Station105,Station105,64320,64320
Train_1,Train Trip,Station105,Station1,65160,68520
Train_1,Light Travel,Station1,Station1,68520,68520
Train_1,Train Trip,Station1,Station105,71820,75120
Train_1,Light Travel,Station105,Station105,75120,75120
Train_1,Train Trip,Station105,Station152,75960,76200
Train_1,Light Travel,Station152,Station105,76200,76440
Train_1,Train Trip,Station105,Station85,77040,78540
Train_1,Light Travel,Station85,Station85,78540,78540
Train_1,Train Trip,Station85,Station14,83940,88260
Train_1,Light Travel,Station14,Station14,88260,88260
Train_1,Train Trip,Station14,Station8,101280,110340
Train_1,Light Travel,Station8,Station91,110340,111240
Train_1,Train Trip,Station91,Station8,111240,111900
Train_1,Light Travel,Station8,Station8,111900,111900
Train_1,Train Trip,Station8,Station14,113820,122280
Train_1,Light Travel,Station14,Station14,122280,122280
Train_1,Train Trip,Station14,Station8,123660,131940
Train_1,Light Travel,Station8,Station8,131940,131940
Train_1,Train Trip,Station8,Station14,135420,143880
Train_1,Light Travel,Station14,Station101,143880,146400
Train_1,Train Trip,Station101,Station46,150120,162720
Train_1,Light Travel,Station46,Station49,162720,162840
Train_1,Train Trip,Station49,Station23,167100,175680
Train_1,Light Travel,Station23,Station23,175680,175680
Train_1,Train Trip,Station23,Station75,183840,186660
Train_1,Light Travel,Station75,Station131,186660,187440
Train_1,Train Trip,Station131,Station75,194700,195660
Train_1,Light Travel,Station75,Station75,195660,195660
Train_1,Train Trip,Station75,Station88,196200,199920
Train_1,Light Travel,Station88,Station88,200520,200520
Train_1,Train Trip,Station88,Station77,200640,216480
Train_1,Light Travel,Station77,Station149,216480,223800
Train_1,Train Trip,Station149,Station79,233460,240000
Train_1,Light Travel,Station79,Station92,240000,250320
Train_1,Train Trip,Station92,Station79,253200,265860
Train_1,Light Travel,Station79,Station119,265860,267960
Train_1,Train Trip,Station119,Station36,281100,296760
Train_1,Light Travel,Station36,Station36,297360,297360
Train_1,Train Trip,Station36,Station130,297480,317400
Train_1,Light Travel,Station130,Station130,317400,317400
Train_1,Train Trip,Station130,Station36,319800,339780
Train_1,Light Travel,Station36,Station36,340380,340380
Train_1,Train Trip,Station36,Station5,340500,340920
Train_1,Light Travel,Station5,Station5,340920,340920
Train_1,Train Trip,Station5,Station89,349320,353940
Train_1,Light Travel,Station89,Station89,353940,353940
Train_1,Train Trip,Station89,Station75,440820,448860
Train_1,Light Travel,Station75,Station75,448860,448860
Train_1,Train Trip,Station75,Station44,501000,516420
Train_1,Light Travel,Station44,Station101,516420,516660
Train_1,Train Trip,Station101,Station12,517560,528480
Train_1,Light Travel,Station12,Station12,528480,528480
Train_1,Train Trip,Station12,Station146,528960,535260
Train_1,Light Travel,Station146,Station92,535260,543180
