Train,Type,From,To,StartTime,EndTime
Train_1,Train Trip,Station0,Station1,0,4830
Train_1,Light Travel,Station1,Station1,4830,4830
Train_1,Train Trip,Station1,Station42,19830,30960
Train_1,Light Travel,Station42,Station42,30960,30960
Train_1,Train Trip,Station42,Station40,31980,38940
Train_1,Light Travel,Station40,Station40,38940,38940
Train_1,Train Trip,Station40,Station42,40170,47370
Train_1,Light Travel,Station42,Station42,47370,47370
Train_1,Train Trip,Station42,Station133,48180,59340
Train_1,Light Travel,Station133,Station133,59340,59340
Train_1,Train Trip,Station133,Station5,62820,71250
Train_1,Light Travel,Station5,Station5,71250,71250
Train_1,Train Trip,Station5,Station1,72240,79950
Train_1,Light Travel,Station1,Station1,79950,79950
Train_1,Train Trip,Station1,Station137,80790,86040
Train_1,Light Travel,Station137,Station137,86640,86640
Train_1,Train Trip,Station137,Station1,86670,92430
Train_1,Light Travel,Station1,Station1,92430,92430
Train_1,Train Trip,Station1,Station42,104040,114960
Train_1,Light Travel,Station42,Station42,114960,114960
Train_1,Train Trip,Station42,Station40,115980,122340
Train_1,Light Travel,Station40,Station40,122340,122340
Train_1,Train Trip,Station40,Station5,144540,148470
Train_1,Light Travel,Station5,Station5,148470,148470
Train_1,Train Trip,Station5,Station1,149040,156750
Train_1,Light Travel,Station1,Station1,156750,156750
Train_1,Train Trip,Station1,Station137,160590,165840
Train_1,Light Travel,Station137,Station137,166440,166440
Train_1,Train Trip,Station137,Station1,166470,171750
Train_1,Light Travel,Station1,Station1,171750,171750
Train_1,Train Trip,Station1,Station154,197400,198510
Train_1,Light Travel,Station154,Station154,198510,198510
Train_1,Train Trip,Station154,Station137,199530,206040
Train_1,Light Travel,Station137,Station166,206040,207060
Train_1,Train Trip,Station166,Station3,220080,256140
Train_1,Light Travel,Station3,Station3,256140,256140
Train_1,Train Trip,Station3,Station183,259860,290220
Train_1,Light Travel,Station183,Station25,290220,290520
Train_1,Train Trip,Station25,Station174,292080,297060
Train_1,Light Travel,Station174,Station174,297060,297060
Train_1,Train Trip,Station174,Station25,322140,331260
Train_1,Light Travel,Station25,Station101,331260,331620
Train_1,Train Trip,Station101,Station64,332340,367680
Train_1,Light Travel,Station64,Station64,367680,367680
Train_1,Train Trip,Station64,Station203,543000,594840
Train_10,Train Trip,Station17,Station18,0,24990
Train_10,Light Travel,Station18,Station18,24990,24990
Train_10,Train Trip,Station18,Station146,47700,48720
Train_10,Light Travel,Station146,Station170,48720,49440
Train_10,Train Trip,Station170,Station18,50760,56160
Train_10,Light Travel,Station18,Station18,56160,56160
Train_10,Train Trip,Station18,Station20,83100,115110
Train_10,Light Travel,Station20,Station20,115110,115110
Train_10,Train Trip,Station20,Station125,116880,131400
Train_10,Light Travel,Station125,Station125,131400,131400
Train_10,Train Trip,Station125,Station44,135000,159540
Train_10,Light Travel,Station44,Station44,159540,159540
Train_10,Train Trip,Station44,Station16,160800,180720
Train_10,Light Travel,Station16,Station16,180720,180720
Train_10,Train Trip,Station16,Station130,190860,201450
Train_10,Light Travel,Station130,Station130,201450,201450
Train_10,Train Trip,Station130,Station20,201810,202710
Train_10,Light Travel,Station20,Station20,202710,202710
Train_10,Train Trip,Station20,Station125,203280,217800
Train_10,Light Travel,Station125,Station12,217800,224400
Train_10,Train Trip,Station12,Station130,225600,253620
Train_10,Light Travel,Station130,Station130,253620,253620
Train_10,Train Trip,Station130,Station20,254010,254910
Train_10,Light Travel,Station20,Station130,254910,255690
Train_10,Train Trip,Station130,Station20,255810,256710
Train_10,Light Travel,Station20,Station20,256710,256710
Train_10,Train Trip,Station20,Station98,260880,266220
Train_10,Light Travel,Station98,Station91,266220,266760
Train_10,Train Trip,Station91,Station60,266940,289260
Train_10,Light Travel,Station60,Station175,289260,290040
Train_10,Train Trip,Station175,Station89,290640,293460
Train_10,Light Travel,Station89,Station89,293460,293460
Train_10,Train Trip,Station89,Station152,296100,302760
Train_10,Light Travel,Station152,Station152,302760,302760
Train_10,Train Trip,Station152,Station67,313140,323580
Train_10,Light Travel,Station67,Station67,323580,323580
Train_10,Train Trip,Station67,Station99,328740,347700
Train_10,Light Travel,Station99,Station91,347700,348540
Train_10,Train Trip,Station91,Station60,353340,375660
Train_10,Light Travel,Station60,Station175,375660,376440
Train_10,Train Trip,Station175,Station89,377040,379860
Train_10,Light Travel,Station89,Station89,379860,379860
Train_10,Train Trip,Station89,Station152,382500,389160
Train_10,Light Travel,Station152,Station152,389160,389160
Train_10,Train Trip,Station152,Station67,399540,409980
Train_10,Light Travel,Station67,Station67,409980,409980
Train_10,Train Trip,Station67,Station99,415140,434100
Train_10,Light Travel,Station99,Station79,434100,434940
Train_10,Train Trip,Station79,Station81,437580,454440
Train_10,Light Travel,Station81,Station81,454440,454440
Train_10,Train Trip,Station81,Station79,481020,507120
Train_10,Light Travel,Station79,Station91,507120,507240
Train_10,Train Trip,Station91,Station82,597480,604800
Train_100,Train Trip,Station36,Station5,18210,26460
Train_100,Light Travel,Station5,Station5,26460,26460
Train_100,Train Trip,Station5,Station40,27930,31920
Train_100,Light Travel,Station40,Station40,31920,31920
Train_100,Train Trip,Station40,Station42,32970,40170
Train_100,Light Travel,Station42,Station42,40170,40170
Train_100,Train Trip,Station42,Station133,40980,52140
Train_100,Light Travel,Station133,Station133,52140,52140
Train_100,Train Trip,Station133,Station5,55620,64050
Train_100,Light Travel,Station5,Station5,64050,64050
Train_100,Train Trip,Station5,Station154,65040,74190
Train_100,Light Travel,Station154,Station154,74190,74190
Train_100,Train Trip,Station154,Station137,75420,81840
Train_100,Light Travel,Station137,Station137,81840,81840
Train_100,Train Trip,Station137,Station133,104250,109920
Train_100,Light Travel,Station133,Station133,109920,109920
Train_100,Train Trip,Station133,Station42,111420,122970
Train_100,Light Travel,Station42,Station42,122970,122970
Train_100,Train Trip,Station42,Station40,125580,132540
Train_100,Light Travel,Station40,Station40,132540,132540
Train_100,Train Trip,Station40,Station42,133770,140970
Train_100,Light Travel,Station42,Station42,140970,140970
Train_100,Train Trip,Station42,Station40,141780,147120
Train_100,Light Travel,Station40,Station20,147120,147900
Train_100,Train Trip,Station20,Station16,149280,157980
Train_100,Light Travel,Station16,Station16,157980,157980
Train_100,Train Trip,Station16,Station98,159060,163800
Train_100,Light Travel,Station98,Station91,163800,164340
Train_100,Train Trip,Station91,Station191,165060,175440
Train_100,Light Travel,Station191,Station144,175440,180420
Train_100,Train Trip,Station144,Station157,194520,203130
Train_100,Light Travel,Station157,Station157,203130,203130
Train_100,Train Trip,Station157,Station144,205200,213300
Train_100,Light Travel,Station144,Station166,213300,218340
Train_100,Train Trip,Station166,Station93,227280,232560
Train_100,Light Travel,Station93,Station20,232560,232800
Train_100,Train Trip,Station20,Station98,232950,238320
Train_100,Light Travel,Station98,Station125,238320,244620
Train_100,Train Trip,Station125,Station3,245340,263940
Train_100,Light Travel,Station3,Station3,263940,263940
Train_100,Train Trip,Station3,Station20,269100,291120
Train_100,Light Travel,Station20,Station20,291120,291120
Train_100,Train Trip,Station20,Station142,296280,312360
Train_100,Light Travel,Station142,Station142,312360,312360
Train_100,Train Trip,Station142,Station20,314040,330120
Train_100,Light Travel,Station20,Station20,330120,330120
Train_100,Train Trip,Station20,Station5,332280,334290
Train_100,Light Travel,Station5,Station5,334290,334290
Train_100,Train Trip,Station5,Station133,335490,343740
Train_100,Light Travel,Station133,Station133,343740,343740
Train_100,Train Trip,Station133,Station5,361620,370050
Train_100,Light Travel,Station5,Station5,370050,370050
Train_100,Train Trip,Station5,Station1,370980,378750
Train_100,Light Travel,Station1,Station1,378750,378750
Train_100,Train Trip,Station1,Station137,382590,387840
Train_100,Light Travel,Station137,Station137,387840,387840
Train_100,Train Trip,Station137,Station1,388470,393750
Train_100,Light Travel,Station1,Station1,393750,393750
Train_100,Train Trip,Station1,Station42,397590,407970
Train_100,Light Travel,Station42,Station42,407970,407970
Train_100,Train Trip,Station42,Station20,408780,413520
Train_100,Light Travel,Station20,Station20,413520,413520
Train_100,Train Trip,Station20,Station42,414150,418770
Train_100,Light Travel,Station42,Station87,418770,422850
Train_100,Train Trip,Station87,Station113,423120,441480
Train_100,Light Travel,Station113,Station207,441480,442200
